,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!AGE!!5 to 9 years,Estimate!!Male!!Total population!!AGE!!10 to 14 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!AGE!!35 to 39 years,Estimate!!Male!!Total population!!AGE!!40 to 44 years,Estimate!!Male!!Total population!!AGE!!45 to 49 years,Estimate!!Male!!Total population!!AGE!!50 to 54 years,Estimate!!Male!!Total population!!AGE!!55 to 59 years,Estimate!!Male!!Total population!!AGE!!60 to 64 years,Estimate!!Male!!Total population!!AGE!!65 to 69 years,Estimate!!Male!!Total population!!AGE!!70 to 74 years,Estimate!!Male!!Total population!!AGE!!75 to 79 years,Estimate!!Male!!Total population!!AGE!!80 to 84 years,Estimate!!Male!!Total population!!AGE!!85 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!AGE!!5 to 9 years,Estimate!!Female!!Total population!!AGE!!10 to 14 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!AGE!!35 to 39 years,Estimate!!Female!!Total population!!AGE!!40 to 44 years,Estimate!!Female!!Total population!!AGE!!45 to 49 years,Estimate!!Female!!Total population!!AGE!!50 to 54 years,Estimate!!Female!!Total population!!AGE!!55 to 59 years,Estimate!!Female!!Total population!!AGE!!60 to 64 years,Estimate!!Female!!Total population!!AGE!!65 to 69 years,Estimate!!Female!!Total population!!AGE!!70 to 74 years,Estimate!!Female!!Total population!!AGE!!75 to 79 years,Estimate!!Female!!Total population!!AGE!!80 to 84 years,Estimate!!Female!!Total population!!AGE!!85 years and over,Year,State
2,735951,50791,53270,49647,47081,50780,59218,57307,52443,44221,43249,44470,47145,46141,37147,24318,13501,8594,6628,384749,25965,27379,25485,24855,29101,31655,29907,27245,23105,22986,23455,24551,24033,19485,12359,6297,4085,2801,351202,24826,25891,24162,22226,21679,27563,27400,25198,21116,20263,21015,22594,22108,17662,11959,7204,4509,3827,2021,ALASKA
3,7079203,412606,440221,480043,476470,477856,496623,470047,452162,430752,422175,416788,432889,426712,393203,338170,234252,145016,133218,3533895,210607,224911,244849,243259,248115,256594,242974,231056,219194,212042,207834,211546,203976,183411,160666,110441,68680,53740,3545308,201999,215310,235194,233211,229741,240029,227073,221106,211558,210133,208954,221343,222736,209792,177504,123811,76336,79478,2021,ARIZONA
4,3006309,184580,195648,203248,203530,198013,197068,191431,193344,183087,182103,182610,196544,189742,165440,134867,93077,57160,54817,1483520,95410,99723,105077,104194,101049,99040,95296,96561,91170,90448,90745,97843,90239,78553,62538,42038,24260,19336,1522789,89170,95925,98171,99336,96964,98028,96135,96783,91917,91655,91865,98701,99503,86887,72329,51039,32900,35481,2021,ARKANSAS
5,39455353,2350335,2434113,2658361,2588625,2626849,2992210,2949412,2772679,2568370,2532144,2511259,2502174,2298943,1890299,1473148,940788,640683,724961,19714044,1203859,1245934,1362100,1322583,1349902,1538050,1518085,1424387,1296275,1273168,1264017,1239784,1126374,897887,683160,422793,273543,272143,19741309,1146476,1188179,1296261,1266042,1276947,1454160,1431327,1348292,1272095,1258976,1247242,1262390,1172569,992412,789988,517995,367140,452818,2021,CALIFORNIA
6,5723176,324246,347653,370266,369984,373987,442444,447489,421236,384013,364101,348095,365606,344802,293687,224681,129810,82812,88264,2895936,165967,176827,191554,191421,194651,229868,234150,217343,199930,187740,176751,181659,168811,141713,107867,60174,35468,34042,2827240,158279,170826,178712,178563,179336,212576,213339,203893,184083,176361,171344,183947,175991,151974,116814,69636,47344,54222,2021,COLORADO
7,3605330,182122,196540,224371,245790,241370,221715,224146,223765,215333,230604,257679,269688,252028,198291,159118,103370,69779,89621,1768860,93734,99242,115470,125338,123893,113856,112538,110750,106582,112721,126100,130797,123936,94313,73549,46331,28795,30915,1836470,88388,97298,108901,120452,117477,107859,111608,113015,108751,117883,131579,138891,128092,103978,85569,57039,40984,58706,2021,CONNECTICUT
8,981892,54234,56481,60792,61884,57883,64150,63728,59429,56344,57443,63792,69719,69638,64491,49465,33567,20141,18711,477219,27567,28646,30950,31028,29500,32141,31668,30222,26794,27899,30730,34190,31878,29814,23098,15122,8791,7181,504673,26667,27835,29842,30856,28383,32009,32060,29207,29550,29544,33062,35529,37760,34677,26367,18445,11350,11530,2021,DELAWARE
9,683154,42958,35069,31449,36641,49311,77357,78357,60851,45947,37731,35870,35195,33219,26924,22048,14718,9250,10259,325490,21890,17335,16300,17183,22320,35427,37517,30036,22695,19030,18207,18298,14734,12005,9414,6039,3312,3748,357664,21068,17734,15149,19458,26991,41930,40840,30815,23252,18701,17663,16897,18485,14919,12634,8679,5938,6511,2021,WASHINGTON DC
10,21339762,1118794,1147901,1252281,1227017,1244479,1370531,1371911,1331341,1295589,1337970,1397260,1481932,1415791,1307871,1134802,823366,535744,545182,10489548,571443,583755,644169,628657,632024,695887,694218,667839,647529,664590,691110,714509,676916,609147,528650,384361,237146,217598,10850214,547351,564146,608112,598360,612455,674644,677693,663502,648060,673380,706150,767423,738875,698724,606152,439005,298598,327584,2021,FLORIDA
11,10625615,643718,686126,754667,752682,712566,743331,718654,717538,691318,710754,700061,691536,622832,520485,404278,256067,152896,146106,5191616,329092,350442,385435,381707,365066,369530,351798,348379,337726,345980,344157,336510,294818,240369,183864,113887,61905,50951,5433999,314626,335684,369232,370975,347500,373801,366856,369159,353592,364774,355904,355026,328014,280116,220414,142180,90991,95155,2021,GEORGIA
