,Estimate!!Total!!Total households,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop with no other type of computing device,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Smartphone!!Smartphone with no other type of computing device,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!Has one or more types of computing devices:!!Other computer!!Other computer with no other type of computing device,Estimate!!Total!!Total households!!TYPES OF COMPUTER!!No computer,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With dial-up Internet subscription alone","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!With a broadband Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000:!!Without an Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription","Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription",Year,State
2,1902983,1706822,1327877,68577,1583350,249529,1075083,20508,40511,477,196161,1568246,6930,1561316,1411686,297136,1165331,164272,334737,343866,946,209138,133782,861179,3756,697056,160367,697938,2228,655122,40588,2021,ALABAMA
3,260561,248873,210361,7831,235352,23730,169967,1662,11794,18,11688,230942,594,230348,210585,40803,179416,14986,29619,26557,189,17102,9266,95042,275,80702,14065,138962,130,132544,6288,2021,ALASKA
4,2683557,2533201,2184385,100413,2362796,218267,1726835,19314,72595,797,150356,2373235,6759,2366476,2127595,296233,1951944,223061,310322,337028,1515,231271,104242,1163058,3863,999582,159613,1183471,1381,1135623,46467,2021,ARIZONA
5,1158460,1040511,794954,42336,968156,168630,640020,9860,19558,241,117949,926644,2959,923685,832632,190418,661390,100239,231816,205128,603,120001,84524,562969,1862,443850,117257,390363,494,359834,30035,2021,ARKANSAS
6,13217586,12586778,11016839,390716,11921237,951989,8886661,84427,442803,3267,630808,11972473,22196,11950277,11046602,1345409,10119562,1071967,1245113,1475943,4614,1053214,418115,4498071,10832,3911365,575874,7243572,6750,6985698,251124,2021,CALIFORNIA
7,2227932,2131145,1908287,78252,2000172,134296,1507228,14122,53059,496,96787,2030938,5316,2025622,1849856,195480,1732510,171843,196994,223916,1177,162447,60292,820740,2655,719109,98976,1183276,1484,1144066,37726,2021,COLORADO
8,1397324,1302764,1136950,60288,1198381,95321,907139,14081,30603,333,94560,1245301,3142,1242159,1101285,127341,1091344,49110,152023,157849,479,106170,51200,479659,1491,404003,74165,759816,1172,731986,26658,2021,CONNECTICUT
9,381097,359187,302465,14877,332667,32139,247876,3713,9030,61,21910,340926,771,340155,309304,37642,293141,16167,40171,42804,71,31332,11401,153061,498,131575,20988,185232,202,177248,7782,2021,DELAWARE
10,310104,292737,256104,6787,280500,24497,200204,1685,7850,116,17367,270614,278,270336,253175,27241,237698,10618,39490,45698,91,29797,15810,83109,136,67630,15343,181297,51,172909,8337,2021,WASHINGTON DC
11,8157420,7693785,6582540,307381,7161778,693061,5153069,65553,255427,2323,463635,7130369,13854,7116515,6417376,870141,6009922,491069,1027051,1134220,2719,778222,353279,3669977,7953,3147797,514227,3353223,3182,3190496,159545,2021,FLORIDA
12,3885371,3619549,3053778,120735,3411154,361352,2473106,29260,95806,769,265822,3355363,5092,3350271,3053581,437984,2763437,300338,530008,546146,988,354193,190965,1643977,2769,1379684,261524,1695248,1335,1616394,77519,2021,GEORGIA
13,478413,447987,388411,16389,419586,33411,324486,3801,11186,72,30426,425392,1158,424234,389649,46567,368182,21142,53021,46368,137,31613,14618,157293,561,132727,24005,274752,460,259894,14398,2021,HAWAII
14,657101,619106,539991,28155,571881,47193,426371,5254,14805,189,37995,581034,2499,578535,521671,74834,452890,73731,76067,78633,343,53591,24699,307543,1463,265581,40499,270925,693,259363,10869,2021,IDAHO
15,4930255,4567827,3884332,179329,4258804,422425,3115353,41643,136196,1256,362428,4296666,11299,4285367,3890519,556176,3541238,341353,633589,637478,2240,416143,219095,1900668,6384,1584206,310078,2392109,2675,2285018,104416,2021,ILLINOIS
16,2622601,2404899,1972025,107511,2219374,261990,1584032,25042,55026,549,217702,2242469,7551,2234918,2011466,333032,1768719,201158,380132,354516,1339,230738,122439,1197817,4482,990162,203173,1070268,1730,1014018,54520,2021,INDIANA
17,1275893,1169965,981780,59203,1066713,113713,772065,14281,22407,321,105928,1088445,5388,1083057,974691,159243,858331,101256,187448,160181,984,98532,60665,562876,3003,461735,98138,552836,1401,522790,28645,2021,IOWA
18,1139738,1062203,892915,49087,979328,103679,705233,10702,24325,168,77535,988695,2708,985987,888985,128764,802372,83583,151043,141349,601,92952,47796,509218,1623,427235,80360,489171,484,465800,22887,2021,KANSAS
19,1748475,1576610,1259484,68459,1446987,190183,1040615,21891,46178,362,171865,1466763,4428,1462335,1304709,227583,1157684,123297,281712,307390,1137,190728,115525,800505,2454,663977,134074,640580,837,607630,32113,2021,KENTUCKY
20,1748688,1565982,1204737,53909,1469080,246139,960133,15602,42975,498,182706,1421966,2857,1419109,1283889,247218,1091011,149048,326722,348442,445,206431,141566,759910,1546,611126,147238,640336,866,601552,37918,2021,LOUISIANA
21,571064,525832,457706,37956,458114,33823,355841,8163,10662,148,45232,494222,2967,491255,418877,46611,423754,26862,76842,79684,527,49371,29786,250141,1919,211375,36847,241239,521,230509,10209,2021,MAINE
