,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
0,Under 18,175,6,102,0,0,3,3,2,99,1,0,17,0,0,0,3,0,2,0,0,16,0,0,1,11,1,8,0,8,0,0,1,84139,ALABAMA,2013,0
1,Total all ages,2119,26,684,2,2,12,10,11,670,2,1,233,7,15,17,30,6,27,4,0,325,0,1,259,16,132,21,4,312,0,0,0,0,ALABAMA,2013,2
2,Over 18,1944,20,582,2,2,9,7,9,571,1,1,216,7,15,17,27,6,25,4,0,309,0,1,258,5,131,13,4,304,0,0,0,0,ALABAMA,2013,2
3,Under 18,144,3,84,0,0,2,1,3,80,0,1,22,0,1,0,3,0,1,0,0,9,0,0,1,1,1,6,0,12,0,0,1,84843,ALABAMA,2014,0
4,Total all ages,1815,33,695,1,1,20,11,15,679,0,1,218,8,19,7,22,5,15,0,0,220,0,0,162,7,119,21,8,256,0,0,0,0,ALABAMA,2014,1
5,Over 18,1671,30,611,1,1,18,10,12,599,0,0,196,8,18,7,19,5,14,0,0,211,0,0,161,6,118,15,8,244,0,0,0,0,ALABAMA,2014,1
6,Under 18,5468,397,1634,17,45,140,195,380,1168,74,12,954,11,28,6,109,133,70,0,29,231,0,18,29,249,40,430,0,1100,0,0,232,3663706,ALABAMA,2015,74
7,Total all ages,140450,5537,19386,283,336,1088,3830,3008,15558,727,93,18207,1184,4119,240,1948,1489,1374,0,457,8967,0,852,7863,1739,7107,2187,145,57649,0,0,0,0,ALABAMA,2015,793
8,Over 18,134982,5140,17752,266,291,948,3635,2628,14390,653,81,17253,1173,4091,234,1839,1356,1304,0,428,8736,0,834,7834,1490,7067,1757,145,56549,0,0,0,0,ALABAMA,2015,719
9,Under 18,4800,321,1229,15,32,109,165,318,833,72,6,777,20,24,1,121,190,93,0,29,191,0,44,28,225,31,378,2,1096,0,0,240,3800629,ALABAMA,2016,61
10,Total all ages,154482,6187,18479,312,384,1177,4314,3004,14495,880,100,18151,1382,3774,190,2020,1583,1681,1,706,10193,0,982,8126,2496,7283,2129,67,69052,0,0,0,0,ALABAMA,2016,1090
11,Over 18,149682,5866,17250,297,352,1068,4149,2686,13662,808,94,17374,1362,3750,189,1899,1393,1588,1,677,10002,0,938,8098,2271,7252,1751,65,67956,0,0,0,0,ALABAMA,2016,1029
12,Under 18,4707,365,1264,18,34,116,197,323,860,71,10,782,13,29,1,134,86,103,0,26,196,0,29,42,212,34,338,0,1053,0,0,223,3737635,ALABAMA,2017,60
13,Total all ages,153285,6005,18366,317,344,1140,4204,3223,14030,994,119,16455,1189,3258,161,2484,1413,1963,2,550,11267,0,822,7194,2064,6165,2018,56,71853,0,0,0,0,ALABAMA,2017,894
14,Over 18,148578,5640,17102,299,310,1024,4007,2900,13170,923,109,15673,1176,3229,160,2350,1327,1860,2,524,11071,0,793,7152,1852,6131,1680,56,70800,0,0,0,0,ALABAMA,2017,834
15,Under 18,3578,296,959,13,22,111,150,212,627,112,8,608,2,19,0,92,82,88,0,9,130,0,11,26,131,24,250,0,851,0,0,171,3070799,ALABAMA,2018,31
16,Total all ages,126404,4761,15609,214,245,919,3383,2352,12332,840,85,13027,768,2103,112,1756,1004,1585,0,446,8217,0,420,6391,1434,5300,1815,34,61622,0,0,0,0,ALABAMA,2018,691
17,Over 18,122826,4465,14650,201,223,808,3233,2140,11705,728,77,12419,766,2084,112,1664,922,1497,0,437,8087,0,409,6365,1303,5276,1565,34,60771,0,0,0,0,ALABAMA,2018,660
18,Under 18,103,3,70,0,0,2,1,0,68,2,0,4,0,0,0,0,6,3,0,0,9,0,0,0,0,1,0,0,7,0,0,2,85670,ALABAMA,2019,0
19,Total all ages,1831,29,522,4,0,14,11,13,502,5,2,191,19,8,6,33,17,43,0,0,378,0,3,36,1,49,24,0,472,0,0,0,0,ALABAMA,2019,0
20,Over 18,1728,26,452,4,0,12,10,13,434,3,2,187,19,8,6,33,11,40,0,0,369,0,3,36,1,48,24,0,465,0,0,0,0,ALABAMA,2019,0
21,Under 18,40,6,9,0,0,1,5,4,5,0,0,7,0,1,0,0,3,0,0,0,2,0,0,0,2,0,2,0,8,0,0,7,66582,ALABAMA,2020,0
22,Total all ages,2050,104,189,8,7,11,78,47,127,14,1,158,24,43,2,19,19,14,0,11,131,0,20,76,16,44,23,0,1157,0,0,0,0,ALABAMA,2020,18
23,Over 18,2010,98,180,8,7,10,73,43,122,14,1,151,24,42,2,19,16,14,0,11,129,0,20,76,14,44,21,0,1149,0,0,0,0,ALABAMA,2020,18
24,Under 18,990,89,173,3,4,40,42,54,79,39,1,179,1,9,0,41,44,54,0,2,137,0,2,3,39,0,71,0,146,0,0,186,2265220,ALABAMA,2021,6
25,Total all ages,48349,1192,4058,82,68,166,876,782,2898,354,24,3539,207,471,4,694,683,959,30,51,6628,1,135,316,2563,0,891,0,25927,0,0,0,0,ALABAMA,2021,119
26,Over 18,47359,1103,3885,79,64,126,834,728,2819,315,23,3360,206,462,4,653,639,905,30,49,6491,1,133,313,2524,0,820,0,25781,0,0,0,0,ALABAMA,2021,113
27,Under 18,2211,138,730,8,15,13,102,38,649,33,10,262,3,9,10,8,108,22,1,22,240,0,1,29,287,11,22,0,302,0,6,31,473660,ALASKA,2013,37
28,Total all ages,29568,1638,4006,22,106,222,1288,264,3461,215,66,3590,49,172,87,32,776,234,647,219,1475,0,224,2689,1385,100,939,607,10693,0,6,0,0,ALASKA,2013,325
29,Over 18,27357,1500,3276,14,91,209,1186,226,2812,182,56,3328,46,163,77,24,668,212,646,197,1235,0,223,2660,1098,89,917,607,10391,0,0,0,0,ALASKA,2013,288
30,Under 18,1863,129,604,1,10,22,96,71,491,24,18,201,2,7,4,3,121,35,0,22,199,0,2,26,243,15,28,0,217,0,5,28,469145,ALASKA,2014,32
31,Total all ages,25935,1577,3451,19,87,208,1263,282,2824,204,141,3134,77,182,62,24,732,218,36,250,1159,0,187,2336,1171,125,731,0,10461,17,5,0,0,ALASKA,2014,337
32,Over 18,24072,1448,2847,18,77,186,1167,211,2333,180,123,2933,75,175,58,21,611,183,36,228,960,0,185,2310,928,110,703,0,10244,17,0,0,0,ALASKA,2014,305
33,Under 18,2021,176,589,3,17,23,133,125,371,62,31,314,1,7,3,3,154,25,0,23,213,0,0,25,172,4,22,0,285,0,5,32,734820,ALASKA,2015,40
34,Total all ages,31402,2193,3453,47,118,294,1734,485,2540,361,67,4350,39,230,72,52,898,303,8,240,1212,0,181,3163,1100,80,795,3,13025,0,5,0,0,ALASKA,2015,358
35,Over 18,29381,2017,2864,44,101,271,1601,360,2169,299,36,4036,38,223,69,49,744,278,8,217,999,0,181,3138,928,76,773,3,12740,0,0,0,0,ALASKA,2015,318
36,Under 18,1893,216,494,8,21,35,152,104,300,62,28,297,1,10,8,5,135,24,0,33,207,0,1,31,121,18,11,0,269,0,12,32,738566,ALASKA,2016,54
37,Total all ages,29462,2298,3495,41,130,282,1845,538,2401,505,51,4300,96,236,81,82,1024,311,13,281,1006,0,195,3063,775,112,738,4,11340,0,12,0,0,ALASKA,2016,411
38,Over 18,27569,2082,3001,33,109,247,1693,434,2101,443,23,4003,95,226,73,77,889,287,13,248,799,0,194,3032,654,94,727,4,11071,0,0,0,0,ALASKA,2016,357
39,Under 18,1570,164,459,1,26,20,117,117,258,78,6,320,2,5,7,5,98,21,1,9,180,0,0,23,80,10,14,0,172,0,0,32,736205,ALASKA,2017,35
40,Total all ages,29152,2374,3695,46,126,289,1913,623,2356,694,22,4478,113,219,77,105,1004,369,5,256,1004,0,159,3102,653,43,757,2,10737,0,0,0,0,ALASKA,2017,382
41,Over 18,27582,2210,3236,45,100,269,1796,506,2098,616,16,4158,111,214,70,100,906,348,4,247,824,0,159,3079,573,33,743,2,10565,0,0,0,0,ALASKA,2017,347
42,Under 18,1687,206,439,4,35,21,146,96,218,103,22,374,5,6,6,4,109,18,0,34,183,0,3,35,65,1,10,0,184,0,5,32,733747,ALASKA,2018,69
43,Total all ages,30620,2686,3763,38,149,367,2132,602,2392,726,43,4943,154,201,54,120,1103,387,2,263,1046,0,174,3148,592,47,843,17,11072,0,5,0,0,ALASKA,2018,412
44,Over 18,28933,2480,3324,34,114,346,1986,506,2174,623,21,4569,149,195,48,116,994,369,2,229,863,0,171,3113,527,46,833,17,10888,0,0,0,0,ALASKA,2018,343
45,Under 18,1433,177,321,5,34,24,114,110,148,52,11,372,2,3,2,3,108,18,0,24,156,0,0,22,43,1,11,0,170,0,0,19,684330,ALASKA,2019,58
46,Total all ages,27602,2559,3006,46,126,310,2077,606,1878,473,49,4853,78,121,43,93,1161,258,5,242,930,0,150,2855,305,31,740,2,10170,0,0,0,0,ALASKA,2019,368
47,Over 18,26169,2382,2685,41,92,286,1963,496,1730,421,38,4481,76,118,41,90,1053,240,5,218,774,0,150,2833,262,30,729,2,10000,0,0,0,0,ALASKA,2019,310
48,Under 18,1052,146,198,3,21,17,105,69,68,53,8,300,0,9,1,0,131,11,0,11,56,0,0,32,47,0,10,0,100,0,0,31,719120,ALASKA,2020,32
49,Total all ages,26353,2598,2396,33,160,287,2118,471,1545,338,42,4591,53,199,35,66,1063,332,1,242,808,0,101,3008,275,19,655,44,9865,2,0,0,0,ALASKA,2020,402
50,Over 18,25301,2452,2198,30,139,270,2013,402,1477,285,34,4291,53,190,34,66,932,321,1,231,752,0,101,2976,228,19,645,44,9765,2,0,0,0,ALASKA,2020,370
51,Under 18,416,60,78,0,21,4,35,45,23,8,2,114,1,0,0,0,43,3,0,8,26,0,0,16,18,0,6,0,43,0,0,28,371959,ALASKA,2021,29
52,Total all ages,10525,801,609,14,84,22,681,151,349,96,13,1899,7,19,3,11,323,113,0,45,447,0,32,1529,130,0,405,1,4151,0,0,0,0,ALASKA,2021,129
53,Over 18,10109,741,531,14,63,18,646,106,326,88,11,1785,6,19,3,11,280,110,0,37,421,0,32,1513,112,0,399,1,4108,0,0,0,0,ALASKA,2021,100
54,Under 18,29861,955,6755,20,32,270,633,959,5413,304,79,4014,24,83,10,91,2187,221,8,310,3917,0,200,291,3266,0,1769,10,3860,0,1890,86,6466774,ARIZONA,2013,342
55,Total all ages,279551,9493,42399,253,265,1815,7160,4302,36258,1623,216,26443,1519,2287,201,1257,11283,2637,743,1688,30962,1,2247,31662,17822,0,15533,481,79003,0,1890,0,0,ARIZONA,2013,1953
56,Over 18,249690,8538,35644,233,233,1545,6527,3343,30845,1319,137,22429,1495,2204,191,1166,9096,2416,735,1378,27045,1,2047,31371,14556,0,13764,471,75143,0,0,0,0,ARIZONA,2013,1611
57,Under 18,26173,821,5953,12,46,220,543,768,4838,285,62,3589,18,57,5,82,2036,180,6,291,3475,0,223,218,2682,0,1591,45,3523,0,1378,86,6303555,ARIZONA,2014,337
