,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
0,Under 18,175,6,102,0,0,3,3,2,99,1,0,17,0,0,0,3,0,2,0,0,16,0.0,0,1,11,1,8,0,8,0.0,0,1.0,84139.0,ALABAMA,2013
1,Total all ages,2119,26,684,2,2,12,10,11,670,2,1,233,7,15,17,30,6,27,4,0,325,0.0,1,259,16,132,21,4,312,0.0,0,,,ALABAMA,2013
2,Under 18,2211,138,730,8,15,13,102,38,649,33,10,262,3,9,10,8,108,22,1,22,240,0.0,1,29,287,11,22,0,302,0.0,6,31.0,473660.0,ALASKA,2013
3,Total all ages,29568,1638,4006,22,106,222,1288,264,3461,215,66,3590,49,172,87,32,776,234,647,219,1475,0.0,224,2689,1385,100,939,607,10693,0.0,6,,,ALASKA,2013
4,Under 18,29861,955,6755,20,32,270,633,959,5413,304,79,4014,24,83,10,91,2187,221,8,310,3917,0.0,200,291,3266,0,1769,10,3860,0.0,1890,86.0,6466774.0,ARIZONA,2013
5,Total all ages,279551,9493,42399,253,265,1815,7160,4302,36258,1623,216,26443,1519,2287,201,1257,11283,2637,743,1688,30962,1.0,2247,31662,17822,0,15533,481,79003,0.0,1890,,,ARIZONA,2013
6,Under 18,9197,302,2516,4,34,78,186,473,1981,54,8,1458,8,28,1,86,253,124,4,52,830,0.0,1,67,333,95,864,0,1932,0.0,243,230.0,2746564.0,ARKANSAS,2013
7,Total all ages,138054,4013,16631,95,211,650,3057,2762,13443,369,57,11022,804,1584,27,1022,1308,997,198,192,11391,39.0,314,7811,2355,8628,3292,565,65618,0.0,243,,,ARKANSAS,2013
8,Under 18,94067,8170,21758,108,116,3103,4843,7559,12323,1505,371,11218,80,241,8,1806,4959,4211,205,1356,9284,10.0,4,598,2267,1699,4078,175,18057,0.0,3883,685.0,38284824.0,CALIFORNIA,2013
9,Total all ages,1212801,101342,139624,1425,1600,15930,82387,50390,74234,13909,1091,77525,5598,6722,1053,19613,17445,25676,10260,10286,217520,389.0,266,161055,14029,90812,7205,7193,295305,0.0,3883,,,CALIFORNIA,2013
10,Under 18,26158,539,5673,7,39,132,361,456,4853,276,88,1634,10,82,1,56,1136,303,13,191,3056,0.0,64,290,2159,48,2305,0,7362,0.0,1236,203.0,5107902.0,COLORADO,2013
11,Total all ages,230910,5691,28833,120,333,1000,4238,2425,24873,1340,195,15461,648,1758,89,646,5141,1841,314,687,12370,3.0,3183,28723,13377,238,10359,367,99945,0.0,1236,,,COLORADO,2013
12,Under 18,8960,457,1959,4,28,205,220,262,1353,164,180,2230,8,40,6,40,375,161,0,94,724,1.0,28,44,86,0,1484,0,1212,0.0,11,99.0,3410076.0,CONNECTICUT,2013
13,Total all ages,95685,3562,15338,48,178,1117,2219,2065,12300,574,399,16691,574,1018,185,318,1936,1030,221,427,9137,14.0,1284,8207,377,6,10032,16,25301,0.0,11,,,CONNECTICUT,2013
14,Under 18,4113,340,910,0,15,113,212,140,740,20,10,1076,2,54,0,52,175,77,0,40,486,0.0,2,1,160,9,301,0,376,0.0,52,46.0,923312.0,DELAWARE,2013
15,Total all ages,37321,2175,7407,9,64,511,1591,991,6295,93,28,7224,386,1795,196,394,907,332,100,188,6250,3.0,267,325,1336,530,1782,571,5101,0.0,52,,,DELAWARE,2013
16,Under 18,369,36,40,0,0,27,9,0,39,1,0,53,0,0,0,3,10,26,0,0,20,0.0,0,0,5,0,20,0,155,0.0,1,1.0,,WASHINGTON DC,2013
17,Total all ages,6154,108,99,0,0,77,31,0,94,5,0,235,10,2,1,8,28,67,3,0,323,0.0,0,10,860,66,57,33,4243,0.0,1,,,WASHINGTON DC,2013
18,Under 18,72304,4663,20479,38,295,1674,2656,5750,13374,1284,71,10973,42,433,13,175,1363,808,28,184,7994,5.0,0,230,1061,0,0,0,23853,0.0,0,614.0,19487611.0,FLORIDA,2013
19,Total all ages,904135,40567,122990,662,1842,7940,30123,22822,94392,5452,324,82557,2527,13988,950,2794,6680,5088,3755,2663,126137,303.0,0,41994,25229,0,0,0,425913,0.0,0,,,FLORIDA,2013
20,Under 18,32285,1510,8661,91,50,585,784,1828,6361,419,53,4636,69,241,8,441,571,613,25,461,2986,5.0,163,162,800,48,3771,63,6371,5.0,675,387.0,8998583.0,GEORGIA,2013
21,Total all ages,323435,12146,49993,455,346,2714,8631,7258,40956,1579,200,31366,3790,5334,518,3355,3667,3392,1176,3564,44539,211.0,3634,25912,7649,2657,23724,1133,94916,84.0,675,,,GEORGIA,2013
22,Under 18,740,25,117,0,5,7,13,18,83,13,3,37,0,1,0,0,10,6,0,5,157,0.0,0,8,28,0,11,0,147,0.0,188,1.0,159652.0,HAWAII,2013
23,Total all ages,9556,300,1350,1,19,57,223,225,972,144,9,569,10,5,0,0,80,112,6,40,1087,70.0,11,998,133,0,139,0,4458,0.0,188,,,HAWAII,2013
24,Under 18,8633,153,1819,0,16,13,124,253,1454,76,36,821,6,22,2,33,325,119,1,74,911,0.0,8,89,760,112,298,0,2742,0.0,338,107.0,1606277.0,IDAHO,2013
25,Total all ages,61668,1519,6690,19,86,107,1307,1026,5422,182,60,5200,169,373,52,250,981,437,14,266,7591,32.0,733,8109,3158,511,2006,9,23230,0.0,338,,,IDAHO,2013
26,Under 18,20391,2073,3825,40,0,1117,916,637,2298,880,10,2939,3,11,0,14,822,770,8,42,3984,369.0,6,13,133,0,2727,0,2490,0.0,162,2.0,2870763.0,ILLINOIS,2013
27,Total all ages,120760,6076,16792,363,9,2541,3163,1932,12315,2487,58,17566,188,202,1,72,3096,3438,1424,562,35001,2019.0,311,3868,614,0,11639,44,17685,0.0,162,,,ILLINOIS,2013
28,Under 18,15960,806,4251,11,31,213,551,529,3390,287,45,3016,11,49,4,114,606,201,6,188,1100,0.0,70,68,1434,107,1124,18,2347,123.0,317,138.0,3817113.0,INDIANA,2013
29,Total all ages,129146,6138,21723,158,167,1059,4754,2523,18047,1042,111,13541,755,1047,145,710,1464,1437,725,1057,12470,74.0,936,12295,7230,7454,4278,121,35090,139.0,317,,,INDIANA,2013
30,Under 18,12888,488,3820,2,27,85,374,470,3132,148,70,1692,14,35,9,37,720,143,2,68,982,0.0,3,97,966,162,1478,0,1766,0.0,406,198.0,2780814.0,IOWA,2013
31,Total all ages,101402,4055,15466,32,102,348,3573,1790,13079,457,140,8602,566,724,72,244,2069,711,113,224,9182,4.0,1279,9825,5181,11256,5515,38,25870,0.0,406,,,IOWA,2013
32,Under 18,5784,186,1368,3,26,19,138,138,1156,57,17,932,4,21,19,38,319,47,4,63,815,0.0,10,83,627,4,252,0,992,0.0,0,238.0,2068879.0,KANSAS,2013
33,Total all ages,78182,2145,7209,63,130,206,1746,867,5904,383,55,10665,370,940,202,380,2002,594,245,246,8130,3.0,250,9730,4660,355,2337,0,27719,0.0,0,,,KANSAS,2013
34,Under 18,6364,339,2351,6,17,170,146,460,1723,84,84,1013,18,10,6,163,165,94,3,54,697,2.0,3,69,42,98,284,7,944,0.0,2,369.0,4315933.0,KENTUCKY,2013
