,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
0,ALABAMA5,Under 18,103,3,70,0,0,2,1,0,68,2,0,4,0,0,0,0,6,3,0,0,9,0,0,0,0,1,0,0,7,0,0,2.0,85670.0,ALABAMA,2019
1,ALABAMA5,Total all ages,1831,29,522,4,0,14,11,13,502,5,2,191,19,8,6,33,17,43,0,0,378,0,3,36,1,49,24,0,472,0,0,,,ALABAMA,2019
2,ALASKA,Under 18,1433,177,321,5,34,24,114,110,148,52,11,372,2,3,2,3,108,18,0,24,156,0,0,22,43,1,11,0,170,0,0,19.0,684330.0,ALASKA,2019
3,ALASKA,Total all ages,27602,2559,3006,46,126,310,2077,606,1878,473,49,4853,78,121,43,93,1161,258,5,242,930,0,150,2855,305,31,740,2,10170,0,0,,,ALASKA,2019
4,ARIZONA,Under 18,18502,1097,2839,19,48,296,734,489,1992,328,30,3583,9,69,6,87,1473,288,3,254,2970,1,188,130,988,92,1299,36,2659,0,431,94.0,5578646.0,ARIZONA,2019
5,ARIZONA,Total all ages,235594,11325,29328,294,267,1797,8967,3536,24164,1456,172,23655,772,1959,424,896,9185,2884,242,1239,28254,1,2501,18041,5950,11317,13658,421,73083,28,431,,,ARIZONA,2019
6,ARKANSAS,Under 18,7809,445,1425,11,38,78,318,230,1090,96,9,1700,21,27,1,155,264,109,0,19,823,0,3,55,158,70,690,0,1607,0,237,248.0,2665648.0,ARKANSAS,2019
7,ARKANSAS,Total all ages,117237,5050,13433,166,289,475,4120,1896,10889,585,63,11609,837,839,52,1715,1804,1035,83,74,17844,24,324,6108,1221,5604,2574,320,46450,0,237,,,ARKANSAS,2019
8,CALIFORNIA,Under 18,38617,6745,6539,64,193,2806,3682,2362,2884,1164,129,7292,44,159,19,781,2112,2617,19,811,2459,9,3,464,838,456,832,64,5643,0,711,717.0,38183434.0,CALIFORNIA,2019
9,CALIFORNIA,Total all ages,1014785,102427,88854,1284,2155,15404,83584,32859,39588,14870,1537,77849,3721,6703,972,14777,16462,26673,5751,8560,212417,562,278,120262,5363,53788,3218,4688,260749,0,711,,,CALIFORNIA,2019
10,COLORADO,Under 18,16885,806,3062,16,86,251,453,319,2306,382,55,1972,9,63,2,25,843,339,2,135,1920,0,28,197,899,17,1565,0,4496,0,505,184.0,4910658.0,COLORADO,2019
11,COLORADO,Total all ages,195870,8058,25261,152,532,1148,6226,2518,19662,2883,198,16700,722,2771,69,487,5084,2414,354,463,15846,13,2145,19658,5863,378,5966,465,82648,0,505,,,COLORADO,2019
12,CONNECTICUT,Under 18,6942,304,1405,4,37,144,119,214,946,228,17,1704,11,29,6,87,299,151,0,51,570,0,24,22,7,0,1328,0,935,0,9,107.0,3565287.0,CONNECTICUT,2019
13,CONNECTICUT,Total all ages,92925,3060,11932,83,223,764,1990,1470,9754,646,62,16304,475,858,134,350,1711,1073,120,330,7295,11,1502,7577,86,11,10560,44,29483,0,9,,,CONNECTICUT,2019
14,DELAWARE,Under 18,2924,316,551,1,14,107,194,145,325,74,7,836,1,60,6,81,140,59,0,20,256,3,0,2,24,3,214,0,312,0,40,52.0,970535.0,DELAWARE,2019
15,DELAWARE,Total all ages,30038,1898,5422,20,75,383,1420,745,4461,192,24,6400,219,1312,162,365,849,325,82,101,3815,20,157,452,539,356,1138,229,6157,0,40,,,DELAWARE,2019
16,DISTRICT OF COLUMBIA6,Under 18,807,188,65,0,0,167,21,0,65,0,0,165,0,0,0,26,9,18,0,2,10,0,0,0,0,0,73,0,251,0,0,2.0,0.0,WASHINGTON DC,2019
17,DISTRICT OF COLUMBIA6,Total all ages,12963,296,128,0,2,221,73,0,127,1,0,622,2,2,0,41,46,62,0,22,799,0,1,7,1385,49,409,4,9088,0,0,,,WASHINGTON DC,2019
18,"FLORIDA5, 7",Under 18,44634,3268,11457,58,247,1252,1711,2678,6665,2062,52,7913,29,368,32,158,840,871,4,321,3881,0,0,118,282,1,0,0,15091,0,0,618.0,21418599.0,FLORIDA,2019
19,"FLORIDA5, 7",Total all ages,679072,33860,85675,787,1765,6006,25302,13560,64087,7776,252,80785,1808,11226,1047,1512,5956,6551,2049,3209,110145,107,10,33872,10774,32,43,0,290411,0,0,,,FLORIDA,2019
20,GEORGIA,Under 18,5176,270,1032,11,12,85,162,174,783,63,12,1018,19,24,0,79,139,145,1,103,599,0,34,26,57,18,481,17,1018,0,96,112.0,2372788.0,GEORGIA,2019
21,GEORGIA,Total all ages,59704,2313,7510,70,88,316,1839,873,6318,282,37,4924,493,712,17,634,1048,742,148,394,10763,15,784,5620,461,466,2986,322,19252,4,96,,,GEORGIA,2019
22,HAWAII,Under 18,1849,107,297,0,14,61,32,36,248,9,4,355,1,0,0,45,20,15,0,36,274,0,0,20,54,0,43,0,409,0,173,2.0,1142377.0,HAWAII,2019
23,HAWAII,Total all ages,25165,856,2500,28,91,224,513,285,1937,239,39,3159,59,98,1,449,144,207,107,119,1947,103,8,4049,343,0,573,3,10267,0,173,,,HAWAII,2019
24,IDAHO,Under 18,6235,210,899,10,53,15,132,115,700,49,35,773,4,28,6,14,264,100,0,90,956,0,12,82,207,29,283,0,2185,0,93,101.0,1751712.0,IDAHO,2019
25,IDAHO,Total all ages,57646,1878,4644,84,204,83,1507,711,3707,179,47,4200,97,343,40,171,760,304,13,291,10889,0,620,7893,1250,650,1537,11,21953,9,93,,,IDAHO,2019
26,ILLINOIS8,Under 18,696,50,66,1,1,27,21,5,50,6,5,133,0,6,0,29,25,24,0,1,123,0,1,0,8,0,95,0,111,0,24,1.0,145719.0,ILLINOIS,2019
27,ILLINOIS8,Total all ages,8248,487,565,18,19,75,375,76,461,12,16,1516,17,33,0,93,319,137,62,10,569,0,213,396,73,0,643,21,3070,0,24,,,ILLINOIS,2019
28,INDIANA,Under 18,5211,282,902,5,9,57,211,98,698,101,5,934,5,18,1,14,140,122,0,32,780,1,58,28,370,12,292,5,1146,3,66,165.0,2713489.0,INDIANA,2019
29,INDIANA,Total all ages,76675,3235,8492,71,90,332,2742,851,6940,634,67,5680,664,1010,57,129,541,1202,17,283,15134,19,532,8524,2434,1771,1883,25,24965,12,66,,,INDIANA,2019
30,IOWA,Under 18,8901,503,1891,0,44,70,389,293,1362,201,35,1723,13,39,2,46,629,123,1,33,890,0,5,75,453,84,964,0,1305,0,122,185.0,2597154.0,IOWA,2019
31,IOWA,Total all ages,87139,4436,10055,35,183,274,3944,1271,8118,581,85,7173,433,558,45,239,1874,715,32,96,8444,4,870,9667,2491,4474,3180,8,32223,0,122,,,IOWA,2019
32,KANSAS,Under 18,3632,208,552,1,25,33,149,72,423,40,17,754,1,10,5,31,210,53,1,35,621,0,13,65,278,0,127,0,668,0,0,218.0,1614393.0,KANSAS,2019
33,KANSAS,Total all ages,52378,2212,3741,51,112,190,1859,416,2983,290,52,7043,160,349,46,482,1536,767,79,129,8475,1,216,5672,1751,103,1425,0,18191,0,0,,,KANSAS,2019
34,KENTUCKY,Under 18,4798,330,1193,15,38,130,147,262,692,192,47,933,13,33,4,355,219,101,0,28,398,0,5,41,8,41,164,0,930,0,2,388.0,4315643.0,KENTUCKY,2019
35,KENTUCKY,Total all ages,241668,3386,16163,161,267,774,2184,2646,12383,987,147,12391,1074,1426,351,2902,1406,820,100,234,24555,19,5202,15570,135,14049,4082,50,137751,0,2,,,KENTUCKY,2019
36,LOUISIANA,Under 18,12267,962,2546,30,79,169,684,629,1646,237,34,2504,8,22,3,177,380,384,3,99,921,13,105,21,71,21,1573,34,2276,5,139,136.0,3483954.0,LOUISIANA,2019
37,LOUISIANA,Total all ages,146664,8823,24465,339,333,920,7231,3794,19323,1254,94,15577,573,911,129,1900,2457,3119,339,562,25900,92,1369,5509,1842,2248,5683,323,44684,20,139,,,LOUISIANA,2019
38,MAINE,Under 18,2470,42,543,0,11,8,23,81,413,33,16,518,1,11,6,9,212,7,1,24,282,0,2,26,298,2,67,0,416,0,3,132.0,1339229.0,MAINE,2019
39,MAINE,Total all ages,38973,685,5010,10,63,89,523,502,4266,197,45,4792,145,401,41,98,981,137,51,175,3600,3,154,5444,1577,13,1232,2,14427,2,3,,,MAINE,2019
40,MARYLAND,Under 18,18857,2046,3950,17,101,1191,737,649,2668,561,72,5248,16,45,3,41,852,618,2,152,1831,17,7,45,268,0,990,9,2680,1,36,151.0,6043312.0,MARYLAND,2019
41,MARYLAND,Total all ages,181677,10256,21791,254,528,3292,6182,3634,16022,1913,222,22532,399,843,118,275,2738,3768,633,728,30005,58,1810,18160,4206,44,5018,227,57984,48,36,,,MARYLAND,2019
42,MASSACHUSETTS,Under 18,4141,486,652,1,23,85,377,155,390,91,16,1212,9,19,3,98,242,94,0,39,110,0,11,15,64,12,167,0,908,0,0,334.0,5896253.0,MASSACHUSETTS,2019
43,MASSACHUSETTS,Total all ages,101553,6262,9561,38,310,563,5351,1370,7621,509,61,16622,409,991,81,762,1947,891,348,327,7119,18,1025,9426,1152,4685,3532,53,36341,1,0,,,MASSACHUSETTS,2019
