State,Age,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness3,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion4,"Curfew
and
loitering
law
violations","Number
of
agencies","2021
estimated 
population"
ALABAMA5,Under 18,990,89,173,3,4,40,42,54,79,39,1,179,1,9,0,41,44,54,0,2,137,0,2,3,39,,71,0,146,,0,186,2265220
ALABAMA5,Total all ages,48349,1192,4058,82,68,166,876,782,2898,354,24,3539,207,471,4,694,683,959,30,51,6628,1,135,316,2563,,891,0,25927,,0,,
ALASKA,Under 18,416,60,78,0,21,4,35,45,23,8,2,114,1,0,0,0,43,3,0,8,26,0,0,16,18,,6,0,43,,0,28,371959
ALASKA,Total all ages,10525,801,609,14,84,22,681,151,349,96,13,1899,7,19,3,11,323,113,0,45,447,0,32,1529,130,,405,1,4151,,0,,
ARIZONA,Under 18,7301,355,842,12,18,63,262,147,597,77,21,1755,3,27,1,12,525,100,0,41,538,0,18,124,406,,684,0,1640,,230,67,3568504
ARIZONA,Total all ages,90161,3619,9573,103,126,363,3027,1153,7622,697,101,11505,194,610,54,314,3285,982,64,178,9457,0,351,11932,1909,,8093,129,27682,,230,,
ARKANSAS,Under 18,6135,457,745,21,40,35,361,194,470,70,11,1469,2,10,0,148,334,118,1,15,719,0,3,43,99,,518,0,1282,,172,252,2857932
ARKANSAS,Total all ages,104439,5660,9342,196,285,348,4831,1653,6961,660,68,11540,499,505,26,1663,1688,1139,55,98,16238,9,323,5125,1036,,2311,214,46796,,172,,
CALIFORNIA,Under 18,5267,283,207,5,5,72,201,33,126,41,7,285,0,6,0,29,88,232,1,12,229,0,0,30,69,,3,0,3737,,56,14,2861998
CALIFORNIA,Total all ages,80110,4322,3853,70,67,812,3373,910,1981,823,139,8565,162,451,22,1218,1354,2103,363,125,11629,11,6,4858,166,,97,322,40427,,56,,
COLORADO,Under 18,9006,600,1184,29,60,140,371,142,791,208,43,1436,7,47,8,24,725,289,0,85,974,0,13,210,564,,747,0,1937,,156,203,5678716
COLORADO,Total all ages,154110,8403,19517,229,437,1164,6573,2430,12741,4044,302,15902,369,1638,72,981,5469,2535,205,385,10203,2,2149,17037,3000,,4314,89,61684,,156,,
CONNECTICUT,Under 18,3523,196,615,9,13,90,84,82,313,208,12,830,3,29,3,65,175,158,0,26,125,0,13,25,9,,684,0,566,,1,107,3605597
CONNECTICUT,Total all ages,69831,2346,7356,111,129,517,1589,986,5654,669,47,14977,212,450,66,245,1602,1181,32,267,3444,10,2063,6133,67,,8489,109,20781,,1,,
DELAWARE,Under 18,1651,230,244,4,8,80,138,71,115,52,6,469,1,26,2,95,68,68,0,18,113,0,1,0,12,,70,0,229,,4,53,1001629
DELAWARE,Total all ages,25043,1752,3454,32,71,273,1376,447,2801,186,20,5475,98,952,79,344,874,424,10,106,3566,4,163,324,345,,936,105,6026,,4,,
DISTRICT OF COLUMBIA6,Under 18,148,45,11,0,0,35,10,0,8,3,0,36,0,0,0,1,4,17,0,0,2,0,0,0,0,,7,0,25,,0,1,
DISTRICT OF COLUMBIA6,Total all ages,2002,209,80,1,0,107,101,1,69,9,1,441,1,1,0,14,73,60,0,30,103,0,3,5,233,,203,0,546,,0,,
"FLORIDA5, 7",Under 18,19,3,3,0,0,2,1,0,2,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,4,,1,2,
"FLORIDA5, 7",Total all ages,927,49,115,0,5,17,27,10,92,13,0,199,5,16,1,21,13,21,0,0,104,0,11,30,1,,15,2,323,,1,,
GEORGIA,Under 18,9286,768,1580,40,57,168,503,170,1055,338,17,1985,26,98,1,196,375,364,0,109,907,0,29,140,87,,638,0,1854,,129,380,7950625
GEORGIA,Total all ages,157237,8440,15401,383,361,798,6898,1745,12264,1276,116,17511,887,3139,29,1763,3449,2753,175,548,27358,8,972,18504,1531,,7298,1207,46135,,129,,
HAWAII,Under 18,971,78,77,0,18,27,33,15,52,9,1,319,0,0,0,19,3,4,0,19,69,0,0,17,24,,17,0,288,,37,2,1059012
HAWAII,Total all ages,27741,666,1447,8,76,149,433,204,1141,73,29,3754,60,170,7,488,83,94,30,95,985,38,12,2471,1365,,593,337,15009,,37,,
IDAHO,Under 18,4393,150,526,2,32,6,110,87,367,57,15,573,1,26,2,12,208,75,0,46,663,0,10,88,162,,214,0,1539,,98,80,1661136
IDAHO,Total all ages,46857,1621,2859,25,127,62,1407,565,2078,181,35,3442,75,390,34,166,710,324,15,194,9686,0,457,7017,992,,1283,5,17489,,98,,
ILLINOIS8,Under 18,2729,163,428,2,3,34,124,73,312,38,5,679,4,47,3,25,189,133,0,5,319,0,3,25,77,,199,0,356,,74,118,2407151
ILLINOIS8,Total all ages,38027,1761,4208,43,72,184,1462,568,3423,164,53,7414,104,712,35,141,1649,1284,11,33,4101,0,156,4388,463,,1144,1,10348,,74,,
INDIANA,Under 18,6641,538,889,20,28,173,317,107,563,208,11,1466,7,23,2,47,162,244,0,48,640,0,4,38,248,,256,0,1933,,96,129,4671815
INDIANA,Total all ages,100461,4338,9430,140,170,623,3405,1101,7121,1143,65,12264,214,750,78,483,564,3201,81,313,17532,3,347,11840,1145,,2308,3,35471,,96,,
IOWA,Under 18,6490,476,1302,7,79,67,323,199,827,253,23,1755,14,60,6,74,528,96,1,18,726,0,3,78,357,,162,0,833,,1,178,2825401
IOWA,Total all ages,68342,4868,7780,41,263,218,4346,1046,5824,824,86,8587,275,756,62,288,1951,740,23,98,8378,7,456,8841,1509,,662,6,23054,,1,,
KANSAS,Under 18,3629,152,522,6,22,12,112,64,386,51,21,850,4,11,0,24,247,19,1,17,623,0,10,92,254,,132,0,671,,0,192,1850993
KANSAS,Total all ages,50774,1895,3965,45,97,105,1648,448,3160,305,52,6798,111,270,25,431,1593,352,37,106,8668,0,185,5766,1215,,1118,0,18239,,0,,
KENTUCKY,Under 18,2520,282,429,26,27,120,109,125,199,98,7,610,6,14,1,351,100,83,0,21,266,0,2,8,0,,23,0,324,,0,426,4505498
KENTUCKY,Total all ages,177379,3428,9500,219,252,607,2350,2123,6534,778,65,11215,506,1057,177,2630,1302,704,15,214,20758,8,3990,12426,20,,3307,17,106105,,0,,
LOUISIANA,Under 18,8115,466,1207,36,16,52,362,344,688,166,9,1712,3,12,0,160,289,285,1,34,675,2,1,6,55,,1535,0,1552,,120,113,3042729
LOUISIANA,Total all ages,72217,5727,12423,213,141,295,5078,2204,9353,823,43,11605,197,348,67,1504,2301,1937,141,198,16284,47,297,2261,655,,3249,7,12849,,120,,
MAINE,Under 18,1556,57,325,3,17,15,22,69,192,43,21,363,0,6,1,5,185,4,0,19,106,0,1,23,166,,49,0,235,,11,127,1360671
MAINE,Total all ages,29060,686,3660,16,69,72,529,352,3047,203,58,4308,68,222,15,100,948,127,5,70,2807,1,87,4318,623,,804,1,10199,,11,,
MARYLAND,Under 18,2488,291,447,8,31,128,124,79,241,121,6,812,2,7,3,18,197,63,0,27,120,0,1,4,43,,56,0,395,,2,16,2189086
MARYLAND,Total all ages,28784,2298,3247,66,148,511,1573,605,2247,364,31,3325,55,162,52,131,532,624,45,100,2557,0,178,3312,305,,580,14,11265,,2,,
MASSACHUSETTS,Under 18,3561,463,448,3,18,63,379,138,207,77,26,1118,4,19,0,103,215,141,0,33,59,0,12,17,75,,103,0,751,,0,368,6929534
MASSACHUSETTS,Total all ages,81377,7168,6189,61,283,582,6242,1242,4347,523,77,16333,201,648,35,681,1980,1298,151,294,5361,38,835,7422,679,,2172,8,29884,,0,,
MICHIGAN,Under 18,7136,740,1061,15,114,112,499,234,574,226,27,1955,1,62,26,207,443,426,4,91,237,0,4,118,102,,208,0,1339,,112,611,9780531
MICHIGAN,Total all ages,155832,12718,13261,379,852,887,10600,2090,9716,1259,196,25996,283,1626,623,2159,2791,10148,104,561,12411,43,774,21397,2803,,3344,34,44644,,112,,
MINNESOTA,Under 18,11084,689,1223,9,91,256,333,149,901,153,20,1426,11,83,14,207,311,240,0,60,652,3,1,192,2299,,1308,0,1830,,535,361,5590467
MINNESOTA,Total all ages,126675,5339,15329,134,520,803,3882,1759,12530,913,127,12479,650,2396,64,2050,2230,2426,71,448,13693,14,148,19198,6431,,6631,2401,34140,,535,,
MISSISSIPPI,Under 18,2083,113,284,12,13,46,42,63,184,37,0,303,2,10,8,44,146,104,0,6,188,0,34,46,22,,301,0,446,,26,130,1663780
MISSISSIPPI,Total all ages,49859,1070,4162,82,81,143,764,594,3268,275,25,4480,118,471,217,582,675,869,17,53,8271,8,559,6928,288,,3437,17,17611,,26,,
MISSOURI,Under 18,8256,790,1093,17,56,170,547,183,670,224,16,1591,8,39,5,219,436,158,0,40,857,0,17,129,311,,690,0,1553,,320,326,5208452
MISSOURI,Total all ages,133059,8104,15138,254,344,860,6646,2204,10829,1965,140,14790,738,1276,173,2076,3267,2224,71,213,23624,13,820,14567,2240,,4924,140,38341,,320,,
