,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
0,2013,MISSOURI,Total all ages,384,0,384
1,2013,OHIO,Total all ages,64,64,128
2,2013,TENNESSEE,Total all ages,256,0,256
3,2013,WASHINGTON,Total all ages,64,0,64
4,2014,ALASKA,Total all ages,218,0,218
5,2014,ARIZONA,Total all ages,918,0,918
6,2014,COLORADO,Total all ages,694,128,822
7,2014,FLORIDA,Total all ages,3648,192,3840
8,2014,HAWAII,Total all ages,64,0,64
9,2014,ILLINOIS,Total all ages,3211,1131,4342
10,2014,MICHIGAN,Total all ages,0,64,64
11,2014,MINNESOTA,Total all ages,2256,106,2362
12,2014,MISSOURI,Total all ages,256,64,320
13,2014,MISSOURI,Under 18,64,0,64
14,2014,MONTANA,Total all ages,0,64,64
15,2014,OKLAHOMA,Total all ages,640,0,640
16,2014,TENNESSEE,Total all ages,2058,64,2122
17,2014,TEXAS,Total all ages,5109,6916,12025
18,2014,TEXAS,Under 18,309,192,501
19,2014,WASHINGTON,Total all ages,64,0,64
20,2014,WISCONSIN,Total all ages,384,64,448
21,2014,WYOMING,Total all ages,0,64,64
22,2015,ARKANSAS,Total all ages,256,0,256
23,2015,COLORADO,Total all ages,694,300,994
24,2015,HAWAII,Total all ages,128,0,128
25,2015,ILLINOIS,Total all ages,1152,64,1216
26,2015,MARYLAND,Total all ages,576,0,576
27,2015,MASSACHUSETTS,Total all ages,0,128,128
28,2015,MICHIGAN,Total all ages,135,0,135
29,2015,MINNESOTA,Total all ages,7019,0,7019
30,2015,MISSOURI,Total all ages,448,0,448
31,2015,NEVADA,Total all ages,13696,128,13824
32,2015,NEVADA,Under 18,64,0,64
33,2015,OHIO,Total all ages,256,0,256
34,2015,OHIO,Under 18,0,64,64
35,2015,OKLAHOMA,Total all ages,2432,128,2560
36,2015,OKLAHOMA,Under 18,64,0,64
37,2015,SOUTH CAROLINA,Total all ages,746,243,989
38,2015,TENNESSEE,Total all ages,2329,192,2521
39,2015,TEXAS,Total all ages,6178,11686,17864
40,2015,WASHINGTON,Total all ages,832,0,832
41,2015,WISCONSIN,Total all ages,256,0,256
42,2015,WYOMING,Total all ages,0,64,64
43,2016,ALASKA,Total all ages,326,64,390
44,2016,ARIZONA,Total all ages,1167,0,1167
45,2016,ARKANSAS,Total all ages,256,128,384
46,2016,COLORADO,Total all ages,1260,918,2178
47,2016,CONNECTICUT,Total all ages,320,256,576
48,2016,DELAWARE,Total all ages,784,0,784
49,2016,FLORIDA,Total all ages,6183,448,6631
50,2016,HAWAII,Total all ages,128,0,128
51,2016,ILLINOIS,Total all ages,1652,192,1844
52,2016,INDIANA,Total all ages,256,0,256
