Location,0 to 17,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
United States,NaN,NaN,7366,NaN,44965,15963,44965
Alabama,19,79,130,116,788,285,788
Alaska,14,39,51,35,193,32,193
Arizona,35,126,207,163,1271,507,1271
Arkansas,21,47,100,98,555,211,555
California,127,390,685,628,4294,1678,4294
Colorado,58,122,222,193,1168,362,1168
Connecticut,N/A,29,54,47,397,170,397
Delaware,N/A,11,17,12,119,52,119
District of Columbia,N/A,N/A,14,N/A,40,10,40
Florida,68,219,418,441,3143,1402,3143
Georgia,57,177,232,205,1409,456,1409
Hawaii,N/A,25,41,33,174,47,174
Idaho,16,40,35,67,351,114,351
Illinois,46,138,212,250,1415,492,1415
Indiana,33,124,162,171,1034,335,1034
Iowa,17,50,82,74,451,128,451
Kansas,18,61,107,91,514,151,514
Kentucky,28,75,123,125,756,248,756
Louisiana,21,80,131,107,677,222,677
Maine,N/A,29,28,33,226,92,226
Maryland,18,55,94,86,586,212,586
Massachusetts,22,68,108,102,631,211,631
Michigan,57,160,201,210,1364,478,1364
Minnesota,33,78,136,119,745,239,745
Mississippi,10,48,69,62,383,127,383
Missouri,38,132,213,179,1133,351,1133
Montana,17,30,59,44,267,79,267
Nebraska,14,35,52,37,246,66,246
Nevada,19,46,97,104,650,265,650
New Hampshire,N/A,25,28,43,244,96,244
New Jersey,16,65,92,97,687,257,687
New Mexico,15,44,85,83,471,167,471
New York,64,162,246,267,1679,609,1679
North Carolina,44,144,190,229,1373,505,1373
North Dakota,N/A,22,29,22,140,31,140
Ohio,52,163,303,251,1707,633,1707
Oklahoma,28,102,155,141,822,254,822
Oregon,28,70,95,121,772,315,772
Pennsylvania,61,181,294,291,1970,734,1970
Rhode Island,N/A,10,16,21,126,47,126
South Carolina,23,88,120,113,815,305,815
South Dakota,N/A,29,28,39,163,37,163
Tennessee,41,93,184,186,1111,383,1111
Texas,149,422,667,567,3488,1056,3488
Utah,32,79,122,129,620,148,620
Vermont,N/A,N/A,22,14,118,50,118
Virginia,44,131,203,164,1166,429,1166
Washington,37,127,192,163,1141,427,1141
West Virginia,N/A,29,60,80,362,132,362
Wisconsin,35,108,134,143,866,277,866
Wyoming,N/A,11,21,28,144,49,144
