,Year,State,AgeDetail,TotalSuicide,Age
0,2013,ALABAMA,0 to 17,17,Under 18
1,2013,ARIZONA,0 to 17,25,Under 18
2,2013,ARKANSAS,0 to 17,18,Under 18
3,2013,CALIFORNIA,0 to 17,96,Under 18
4,2013,COLORADO,0 to 17,39,Under 18
5,2013,CONNECTICUT,0 to 17,11,Under 18
6,2013,FLORIDA,0 to 17,51,Under 18
7,2013,GEORGIA,0 to 17,40,Under 18
8,2013,IDAHO,0 to 17,12,Under 18
9,2013,ILLINOIS,0 to 17,48,Under 18
10,2013,INDIANA,0 to 17,31,Under 18
11,2013,IOWA,0 to 17,16,Under 18
12,2013,KANSAS,0 to 17,15,Under 18
13,2013,KENTUCKY,0 to 17,15,Under 18
14,2013,LOUISIANA,0 to 17,23,Under 18
15,2013,MARYLAND,0 to 17,16,Under 18
16,2013,MASSACHUSETTS,0 to 17,20,Under 18
17,2013,MICHIGAN,0 to 17,63,Under 18
18,2013,MINNESOTA,0 to 17,31,Under 18
19,2013,MISSISSIPPI,0 to 17,11,Under 18
20,2013,MISSOURI,0 to 17,29,Under 18
21,2013,MONTANA,0 to 17,11,Under 18
22,2013,NEVADA,0 to 17,13,Under 18
23,2013,NEW JERSEY,0 to 17,15,Under 18
24,2013,NEW MEXICO,0 to 17,17,Under 18
25,2013,NEW YORK,0 to 17,33,Under 18
26,2013,NORTH CAROLINA,0 to 17,34,Under 18
27,2013,OHIO,0 to 17,34,Under 18
28,2013,OKLAHOMA,0 to 17,27,Under 18
29,2013,OREGON,0 to 17,29,Under 18
30,2013,PENNSYLVANIA,0 to 17,56,Under 18
31,2013,SOUTH CAROLINA,0 to 17,19,Under 18
32,2013,SOUTH DAKOTA,0 to 17,16,Under 18
33,2013,TENNESSEE,0 to 17,23,Under 18
34,2013,TEXAS,0 to 17,117,Under 18
35,2013,UTAH,0 to 17,32,Under 18
36,2013,VIRGINIA,0 to 17,29,Under 18
37,2013,WASHINGTON,0 to 17,30,Under 18
38,2013,WEST VIRGINIA,0 to 17,11,Under 18
39,2013,WISCONSIN,0 to 17,25,Under 18
40,2014,ALABAMA,0 to 17,15,Under 18
41,2014,ARIZONA,0 to 17,37,Under 18
42,2014,ARKANSAS,0 to 17,19,Under 18
43,2014,CALIFORNIA,0 to 17,87,Under 18
44,2014,COLORADO,0 to 17,41,Under 18
45,2014,FLORIDA,0 to 17,61,Under 18
46,2014,GEORGIA,0 to 17,30,Under 18
47,2014,IDAHO,0 to 17,18,Under 18
48,2014,ILLINOIS,0 to 17,41,Under 18
49,2014,INDIANA,0 to 17,30,Under 18
50,2014,IOWA,0 to 17,14,Under 18
51,2014,KANSAS,0 to 17,14,Under 18
52,2014,KENTUCKY,0 to 17,13,Under 18
53,2014,LOUISIANA,0 to 17,24,Under 18
54,2014,MARYLAND,0 to 17,16,Under 18
55,2014,MASSACHUSETTS,0 to 17,21,Under 18
56,2014,MICHIGAN,0 to 17,54,Under 18
57,2014,MINNESOTA,0 to 17,43,Under 18
58,2014,MISSOURI,0 to 17,38,Under 18
59,2014,MONTANA,0 to 17,11,Under 18
60,2014,NEBRASKA,0 to 17,14,Under 18
61,2014,NEVADA,0 to 17,12,Under 18
62,2014,NEW JERSEY,0 to 17,22,Under 18
63,2014,NEW MEXICO,0 to 17,15,Under 18
64,2014,NEW YORK,0 to 17,50,Under 18
65,2014,NORTH CAROLINA,0 to 17,46,Under 18
66,2014,OHIO,0 to 17,59,Under 18
67,2014,OKLAHOMA,0 to 17,29,Under 18
68,2014,OREGON,0 to 17,24,Under 18
69,2014,PENNSYLVANIA,0 to 17,38,Under 18
70,2014,SOUTH CAROLINA,0 to 17,26,Under 18
71,2014,TENNESSEE,0 to 17,27,Under 18
72,2014,TEXAS,0 to 17,127,Under 18
73,2014,UTAH,0 to 17,35,Under 18
74,2014,VIRGINIA,0 to 17,39,Under 18
75,2014,WASHINGTON,0 to 17,33,Under 18
76,2014,WEST VIRGINIA,0 to 17,13,Under 18
77,2014,WISCONSIN,0 to 17,33,Under 18
78,2015,ALABAMA,0 to 17,18,Under 18
79,2015,ALASKA,0 to 17,10,Under 18
80,2015,ARIZONA,0 to 17,47,Under 18
81,2015,ARKANSAS,0 to 17,15,Under 18
82,2015,CALIFORNIA,0 to 17,100,Under 18
83,2015,COLORADO,0 to 17,53,Under 18
84,2015,CONNECTICUT,0 to 17,12,Under 18
85,2015,FLORIDA,0 to 17,59,Under 18
86,2015,GEORGIA,0 to 17,52,Under 18
87,2015,IDAHO,0 to 17,18,Under 18
88,2015,ILLINOIS,0 to 17,60,Under 18
89,2015,INDIANA,0 to 17,34,Under 18
90,2015,IOWA,0 to 17,21,Under 18
91,2015,KANSAS,0 to 17,17,Under 18
92,2015,KENTUCKY,0 to 17,26,Under 18
93,2015,LOUISIANA,0 to 17,27,Under 18
94,2015,MARYLAND,0 to 17,16,Under 18
