,Word,Frequency,Words,Respondents,Shared
0,of,119,Stopword,Everyone,Common
1,or,103,Stopword,Everyone,Common
2,the,90,Stopword,Everyone,Common
3,for,71,Stopword,Everyone,Common
4,and,69,Stopword,Everyone,Common
5,to,67,Stopword,Everyone,Common
6,people,44,Significant,Everyone,Common
7,labor,41,Significant,Everyone,Common
8,sex,41,Significant,Everyone,Common
9,a,40,Stopword,Everyone,Common
10,sexual,34,Significant,Everyone,Common
11,their,30,Stopword,Everyone,Common
12,will,30,Stopword,Everyone,Common
13,exploitation,30,Significant,Everyone,Common
14,in,29,Stopword,Everyone,Common
15,forced,28,Significant,Everyone,Common
16,slavery,28,Significant,Everyone,Common
17,human,28,Significant,Everyone,Common
18,coercion,27,Significant,Everyone,Common
19,humans,26,Significant,Everyone,Common
20,against,26,Stopword,Everyone,Common
21,is,25,Stopword,Everyone,Common
22,as,22,Stopword,Everyone,Common
23,force,22,Significant,Everyone,Common
24,selling,21,Significant,Everyone,Common
25,person,20,Significant,Everyone,Common
26,it,19,Stopword,Everyone,Common
27,being,18,Stopword,Everyone,Common
28,are,17,Stopword,Everyone,Common
29,illegal,16,Significant,Everyone,Common
30,gain,16,Significant,Everyone,Common
31,trafficking,16,Significant,Everyone,Common
32,fraud,16,Significant,Currently Involved,Unique
33,use,15,Significant,Everyone,Common
34,them,15,Stopword,Everyone,Common
35,kidnapping,13,Significant,Everyone,Common
36,that,12,Stopword,Everyone,Common
37,other,12,Stopword,Everyone,Common
38,through,12,Stopword,Everyone,Common
39,from,12,Stopword,Everyone,Common
40,work,12,Significant,Everyone,Common
41,someone,12,Significant,Everyone,Common
42,money,11,Significant,Everyone,Common
43,purposes,11,Significant,Everyone,Common
44,be,11,Stopword,Everyone,Common
45,not,11,Stopword,Everyone,Common
46,do,11,Stopword,Everyone,Common
47,commercial,11,Significant,Currently Involved,Unique
48,using,10,Significant,Everyone,Common
49,act,10,Significant,Everyone,Common
50,benefit,10,Significant,Everyone,Common
51,trading,10,Significant,Everyone,Common
52,they,10,Stopword,Everyone,Common
53,purpose,10,Significant,Everyone,Common
54,into,10,Stopword,Everyone,Common
55,another,10,Significant,Everyone,Common
56,by,10,Stopword,Everyone,Common
57,where,9,Stopword,Everyone,Common
