Timestamp,What is your age?,What is your gender?,Where were you born?,Where do you currently live?,What province do you live in?,Which state do you live in?,How would you define human trafficking?,How many people are in slavery globally every year?,What percentage of reported victims of slavery are minors / children?,What percentage of reported victims are forced into sexual slavery / trafficking?,Which region has the highest prevalence of reported victims?,Which type of slavery has the most reported victims?,Who are most often the traffickers?,Do you personally know any survivors of human trafficking?,Please rate the likelihood that there are active trafficking operations in the area you live in,Are you actively engaged in fighting human trafficking?,Are you interested in opportunities to fight human trafficking?,Any other thoughts you would like to share?
4/10/2023 7:33:52,30-39,Male,USA,USA,,Oklahoma,"Activities that involve using other humans as a financial product through the use of coercion, control, and forced relocation.",5 million,64%,87%,Americas,Forced labor,"Family, Kidnappers / strangers",Yes,1,No,Yes,
4/14/2023 8:51:29,30-39,Female,USA,USA,,New York,Sexual slavery in exchange for money. Slavery for labor purposes.,"500,000",64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Foster system, Kidnappers / strangers",No,1,No,Yes,Thank you for following God's leading in this! My email: mrice224@gmail.com
4/14/2023 8:52:19,21-29,Male,USA,USA,,Oregon,moving humans around as a commodity against there will.,5 million,64%,87%,Europe and Central Asia,Commercial sexual exploitation,Kidnappers / strangers,No,2,No,No,
4/14/2023 8:53:20,21-29,Male,Europe,Europe,,,Illegal transportation of humans across borders,50 million,24%,7%,Asia and the Pacific,Commercial sexual exploitation,Family,No,2,No,No,
4/14/2023 9:13:40,21-29,Male,Asia,Asia,,,"Unlawfull, coercion,  transporting people against their will for personal gain.",No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",No,4,No,Maybe,
4/14/2023 9:59:44,17 or younger,Female,Europe,Europe,,,"Being taken somewhere against your will, whether forcibly taken and moved or lied about where you are going, both have to be illegal",No one actually knows,64%,57%,Asia and the Pacific,Forced labor,Family,No,5,No,Yes,
4/14/2023 10:00:55,17 or younger,Female,Europe,Europe,,,Illegally being taken somewhere,50 million,24%,57%,Arab States,Forced marriage,"Family, Kidnappers / strangers",No,5,No,Yes,
4/14/2023 10:18:48,40-49,Female,Europe,USA,,Oregon,using humans for not it supposed to be,50 million,24%,57%,Americas,Commercial sexual exploitation,Foster system,No,3,No,Yes,
4/14/2023 10:26:16,21-29,Male,USA,USA,,Texas,Humans being forced and used to traffic substances and even themselves. ,No one actually knows,64%,87%,Americas,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",No,1,No,Yes,adrian_gamez9@hotmail.com
4/14/2023 11:03:13,21-29,Female,Asia,Europe,,,"the unlawful act of transporting or coercing people in order to benefit from their work or service, typically in the form of forced labour or sexual exploitation.",No one actually knows,64%,57%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,4,No,Yes,
4/14/2023 11:58:15,21-29,Male,Europe,Europe,,,Use of force on humans to obtain an advantage or pleasure.,No one actually knows,24%,57%,Asia and the Pacific,Forced labor,Family,No,3,No,Yes,
4/14/2023 12:45:09,21-29,Male,Europe,Europe,,,Kidnapping and selling them,No one actually knows,64%,87%,Asia and the Pacific,Forced labor,Kidnappers / strangers,No,2,No,Yes,
4/14/2023 12:46:28,21-29,Female,Europe,Europe,,,It is a form of modern slavery where some group makes profit from the exchange of humans as trading goods,No one actually knows,64%,87%,Asia and the Pacific,Commercial sexual exploitation,"Family, Kidnappers / strangers",No,5,No,Yes,
4/14/2023 12:49:19,18-20,Female,USA,USA,,Washington DC,"I believe human trafficking can be broadly defined as forcing a person or multiple people to engage in activities for the gain of the person coordinating the trafficking. These activities can be sexual activity, organ harvesting, forced labor, etc.",5 million,64%,87%,Americas,Commercial sexual exploitation,"Family, Kidnappers / strangers",Yes,1,Yes,Yes,
4/14/2023 13:30:08,21-29,Female,Europe,Europe,,,People who are transported against their will (inside or outside of the city they live in or country even) and that is coerced to perfom tasks without free will and under coersion,5 million,24%,57%,Africa,Forced labor,Family,No,4,No,NA,
4/14/2023 13:47:28,30-39,Male,Asia,Europe,,,I am not sure,5 million,64%,57%,Africa,Commercial sexual exploitation,"Foster system, Kidnappers / strangers",No,3,No,Yes,
4/14/2023 14:55:23,40-49,Male,Asia,USA,,Ohio,"The unlawful transport or exploitation of people to benefit financially from their work or services, usually in the form of forced labor or sexual exploitation",50 million,64%,87%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,3,No,Yes,
