,Year,State,Age,Population,NumberAgencies,TotalAll,TotalTraffick,TotalNonTraffickSex,TotalProperty,TotalViolent,CommercialSex,CommercialSexAct,InvoluntaryServitude,Rape,Sex,AggravatedAssault,AllOther,Arson,Assault,Burglary,CarTheft,CurfewLoitering,DisorderlyConduct,DrugAbuse,Drunkenness,DUI,Embezzlement,FamilyChildren,ForgeryCounterfeit,Fraud,Gambling,Larceny,LiquorLaws,MurderManslaughter,Robbery,StolenProperty,Suspicion,Vagrancy,Vandalism,Weapons
0,2013,ALABAMA,Under 18,84139,1,175,0,0,102,6,0,0,0,0,0,3,8,0,17,2,1,0,8,16,1,1,0,0,0,0,0,99,11,0,3,3,0,0,0,2
1,2013,ALABAMA,Total all ages,0,0,2119,0,2,684,26,4,0,0,2,0,10,312,1,233,11,2,0,21,325,132,259,17,1,7,15,0,670,16,2,12,30,0,4,6,27
2,2013,ALABAMA,Over 18,0,0,1944,0,2,582,20,4,0,0,2,0,7,304,1,216,9,1,0,13,309,131,258,17,1,7,15,0,571,5,2,9,27,0,4,6,25
3,2014,ALABAMA,Under 18,84843,1,144,0,0,84,3,0,0,0,0,0,1,12,1,22,3,0,0,6,9,1,1,0,0,0,1,0,80,1,0,2,3,0,0,0,1
4,2014,ALABAMA,Total all ages,0,0,1815,0,1,695,33,0,0,0,1,0,11,256,1,218,15,0,0,21,220,119,162,7,0,8,19,0,679,7,1,20,22,0,8,5,15
5,2014,ALABAMA,Over 18,0,0,1671,0,1,611,30,0,0,0,1,0,10,244,0,196,12,0,0,15,211,118,161,7,0,8,18,0,599,6,1,18,19,0,8,5,14
6,2015,ALABAMA,Under 18,3663706,232,5468,0,74,1634,397,0,0,0,45,29,195,1100,12,954,380,74,0,430,231,40,29,6,18,11,28,0,1168,249,17,140,109,0,0,133,70
7,2015,ALABAMA,Total all ages,0,0,140450,0,793,19386,5537,0,0,0,336,457,3830,57649,93,18207,3008,727,0,2187,8967,7107,7863,240,852,1184,4119,0,15558,1739,283,1088,1948,0,145,1489,1374
8,2015,ALABAMA,Over 18,0,0,134982,0,719,17752,5140,0,0,0,291,428,3635,56549,81,17253,2628,653,0,1757,8736,7067,7834,234,834,1173,4091,0,14390,1490,266,948,1839,0,145,1356,1304
9,2016,ALABAMA,Under 18,3800629,240,4800,0,61,1229,321,0,0,0,32,29,165,1096,6,777,318,72,0,378,191,31,28,1,44,20,24,0,833,225,15,109,121,0,2,190,93
10,2016,ALABAMA,Total all ages,0,0,154482,0,1090,18479,6187,1,0,0,384,706,4314,69052,100,18151,3004,880,0,2129,10193,7283,8126,190,982,1382,3774,0,14495,2496,312,1177,2020,0,67,1583,1681
11,2016,ALABAMA,Over 18,0,0,149682,0,1029,17250,5866,1,0,0,352,677,4149,67956,94,17374,2686,808,0,1751,10002,7252,8098,189,938,1362,3750,0,13662,2271,297,1068,1899,0,65,1393,1588
12,2017,ALABAMA,Under 18,3737635,223,4707,0,60,1264,365,0,0,0,34,26,197,1053,10,782,323,71,0,338,196,34,42,1,29,13,29,0,860,212,18,116,134,0,0,86,103
13,2017,ALABAMA,Total all ages,0,0,153285,0,894,18366,6005,2,0,0,344,550,4204,71853,119,16455,3223,994,0,2018,11267,6165,7194,161,822,1189,3258,0,14030,2064,317,1140,2484,0,56,1413,1963
14,2017,ALABAMA,Over 18,0,0,148578,0,834,17102,5640,2,0,0,310,524,4007,70800,109,15673,2900,923,0,1680,11071,6131,7152,160,793,1176,3229,0,13170,1852,299,1024,2350,0,56,1327,1860
15,2018,ALABAMA,Under 18,3070799,171,3578,0,31,959,296,0,0,0,22,9,150,851,8,608,212,112,0,250,130,24,26,0,11,2,19,0,627,131,13,111,92,0,0,82,88
16,2018,ALABAMA,Total all ages,0,0,126404,0,691,15609,4761,0,0,0,245,446,3383,61622,85,13027,2352,840,0,1815,8217,5300,6391,112,420,768,2103,0,12332,1434,214,919,1756,0,34,1004,1585
17,2018,ALABAMA,Over 18,0,0,122826,0,660,14650,4465,0,0,0,223,437,3233,60771,77,12419,2140,728,0,1565,8087,5276,6365,112,409,766,2084,0,11705,1303,201,808,1664,0,34,922,1497
18,2019,ALABAMA,Under 18,85670,2,103,0,0,70,3,0,0,0,0,0,1,7,0,4,0,2,0,0,9,1,0,0,0,0,0,0,68,0,0,2,0,0,0,6,3
19,2019,ALABAMA,Total all ages,0,0,1831,48,0,522,29,0,48,0,0,0,11,472,2,191,13,5,0,24,378,49,36,6,3,19,8,0,502,1,4,14,33,0,0,17,43
20,2019,ALABAMA,Over 18,0,0,1728,48,0,452,26,0,48,0,0,0,10,465,2,187,13,3,0,24,369,48,36,6,3,19,8,0,434,1,4,12,33,0,0,11,40
21,2020,ALABAMA,Under 18,66582,7,40,0,0,9,6,0,0,0,0,0,5,8,0,7,4,0,0,2,2,0,0,0,0,0,1,0,5,2,0,1,0,0,0,3,0
22,2020,ALABAMA,Total all ages,0,0,2050,128,18,189,104,0,128,0,7,11,78,1157,1,158,47,14,0,23,131,44,76,2,20,24,43,0,127,16,8,11,19,0,0,19,14
23,2020,ALABAMA,Over 18,0,0,2010,128,18,180,98,0,128,0,7,11,73,1149,1,151,43,14,0,21,129,44,76,2,20,24,42,0,122,14,8,10,19,0,0,16,14
24,2021,ALABAMA,Under 18,2265220,186,990,0,6,173,89,0,0,0,4,2,42,146,1,179,54,39,0,71,137,0,3,0,2,1,9,0,79,39,3,40,41,0,0,44,54
25,2021,ALABAMA,Total all ages,0,0,48349,1023,119,4058,1192,30,1023,0,68,51,876,25927,24,3539,782,354,0,891,6628,0,316,4,135,207,471,1,2898,2563,82,166,694,0,0,683,959
26,2021,ALABAMA,Over 18,0,0,47359,1023,113,3885,1103,30,1023,0,64,49,834,25781,23,3360,728,315,0,820,6491,0,313,4,133,206,462,1,2819,2524,79,126,653,0,0,639,905
27,2013,ALASKA,Under 18,473660,31,2211,0,37,730,138,1,0,0,15,22,102,302,10,262,38,33,6,22,240,11,29,10,1,3,9,0,649,287,8,13,8,0,0,108,22
28,2013,ALASKA,Total all ages,0,0,29568,0,325,4006,1638,647,0,0,106,219,1288,10693,66,3590,264,215,6,939,1475,100,2689,87,224,49,172,0,3461,1385,22,222,32,0,607,776,234
29,2013,ALASKA,Over 18,0,0,27357,0,288,3276,1500,646,0,0,91,197,1186,10391,56,3328,226,182,0,917,1235,89,2660,77,223,46,163,0,2812,1098,14,209,24,0,607,668,212
30,2014,ALASKA,Under 18,469145,28,1863,0,32,604,129,0,0,0,10,22,96,217,18,201,71,24,5,28,199,15,26,4,2,2,7,0,491,243,1,22,3,0,0,121,35
31,2014,ALASKA,Total all ages,0,0,25935,218,337,3451,1577,36,218,0,87,250,1263,10461,141,3134,282,204,5,731,1159,125,2336,62,187,77,182,0,2824,1171,19,208,24,17,0,732,218
32,2014,ALASKA,Over 18,0,0,24072,218,305,2847,1448,36,218,0,77,228,1167,10244,123,2933,211,180,0,703,960,110,2310,58,185,75,175,0,2333,928,18,186,21,17,0,611,183
33,2015,ALASKA,Under 18,734820,32,2021,0,40,589,176,0,0,0,17,23,133,285,31,314,125,62,5,22,213,4,25,3,0,1,7,0,371,172,3,23,3,0,0,154,25
34,2015,ALASKA,Total all ages,0,0,31402,0,358,3453,2193,8,0,0,118,240,1734,13025,67,4350,485,361,5,795,1212,80,3163,72,181,39,230,0,2540,1100,47,294,52,0,3,898,303
35,2015,ALASKA,Over 18,0,0,29381,0,318,2864,2017,8,0,0,101,217,1601,12740,36,4036,360,299,0,773,999,76,3138,69,181,38,223,0,2169,928,44,271,49,0,3,744,278
36,2016,ALASKA,Under 18,738566,32,1893,0,54,494,216,0,0,0,21,33,152,269,28,297,104,62,12,11,207,18,31,8,1,1,10,0,300,121,8,35,5,0,0,135,24
37,2016,ALASKA,Total all ages,0,0,29462,390,411,3495,2298,13,326,64,130,281,1845,11340,51,4300,538,505,12,738,1006,112,3063,81,195,96,236,0,2401,775,41,282,82,0,4,1024,311
38,2016,ALASKA,Over 18,0,0,27569,390,357,3001,2082,13,326,64,109,248,1693,11071,23,4003,434,443,0,727,799,94,3032,73,194,95,226,0,2101,654,33,247,77,0,4,889,287
39,2017,ALASKA,Under 18,736205,32,1570,0,35,459,164,1,0,0,26,9,117,172,6,320,117,78,0,14,180,10,23,7,0,2,5,0,258,80,1,20,5,0,0,98,21
40,2017,ALASKA,Total all ages,0,0,29152,84,382,3695,2374,5,20,64,126,256,1913,10737,22,4478,623,694,0,757,1004,43,3102,77,159,113,219,0,2356,653,46,289,105,0,2,1004,369
41,2017,ALASKA,Over 18,0,0,27582,84,347,3236,2210,4,20,64,100,247,1796,10565,16,4158,506,616,0,743,824,33,3079,70,159,111,214,0,2098,573,45,269,100,0,2,906,348
42,2018,ALASKA,Under 18,733747,32,1687,0,69,439,206,0,0,0,35,34,146,184,22,374,96,103,5,10,183,1,35,6,3,5,6,0,218,65,4,21,4,0,0,109,18
43,2018,ALASKA,Total all ages,0,0,30620,384,412,3763,2686,2,128,256,149,263,2132,11072,43,4943,602,726,5,843,1046,47,3148,54,174,154,201,0,2392,592,38,367,120,0,17,1103,387
44,2018,ALASKA,Over 18,0,0,28933,384,343,3324,2480,2,128,256,114,229,1986,10888,21,4569,506,623,0,833,863,46,3113,48,171,149,195,0,2174,527,34,346,116,0,17,994,369
45,2019,ALASKA,Under 18,684330,19,1433,0,58,321,177,0,0,0,34,24,114,170,11,372,110,52,0,11,156,1,22,2,0,2,3,0,148,43,5,24,3,0,0,108,18
46,2019,ALASKA,Total all ages,0,0,27602,329,368,3006,2559,5,329,0,126,242,2077,10170,49,4853,606,473,0,740,930,31,2855,43,150,78,121,0,1878,305,46,310,93,0,2,1161,258
47,2019,ALASKA,Over 18,0,0,26169,329,310,2685,2382,5,329,0,92,218,1963,10000,38,4481,496,421,0,729,774,30,2833,41,150,76,118,0,1730,262,41,286,90,0,2,1053,240
48,2020,ALASKA,Under 18,719120,31,1052,0,32,198,146,0,0,0,21,11,105,100,8,300,69,53,0,10,56,0,32,1,0,0,9,0,68,47,3,17,0,0,0,131,11
49,2020,ALASKA,Total all ages,0,0,26353,256,402,2396,2598,1,192,64,160,242,2118,9865,42,4591,471,338,0,655,808,19,3008,35,101,53,199,0,1545,275,33,287,66,2,44,1063,332
50,2020,ALASKA,Over 18,0,0,25301,256,370,2198,2452,1,192,64,139,231,2013,9765,34,4291,402,285,0,645,752,19,2976,34,101,53,190,0,1477,228,30,270,66,2,44,932,321
51,2021,ALASKA,Under 18,371959,28,416,0,29,78,60,0,0,0,21,8,35,43,2,114,45,8,0,6,26,0,16,0,0,1,0,0,23,18,0,4,0,0,0,43,3
52,2021,ALASKA,Total all ages,0,0,10525,20,129,609,801,0,20,0,84,45,681,4151,13,1899,151,96,0,405,447,0,1529,3,32,7,19,0,349,130,14,22,11,0,1,323,113
53,2021,ALASKA,Over 18,0,0,10109,20,100,531,741,0,20,0,63,37,646,4108,11,1785,106,88,0,399,421,0,1513,3,32,6,19,0,326,112,14,18,11,0,1,280,110
54,2013,ARIZONA,Under 18,6466774,86,29861,0,342,6755,955,8,0,0,32,310,633,3860,79,4014,959,304,1890,1769,3917,0,291,10,200,24,83,0,5413,3266,20,270,91,0,10,2187,221
55,2013,ARIZONA,Total all ages,0,0,279551,0,1953,42399,9493,743,0,0,265,1688,7160,79003,216,26443,4302,1623,1890,15533,30962,0,31662,201,2247,1519,2287,1,36258,17822,253,1815,1257,0,481,11283,2637
56,2013,ARIZONA,Over 18,0,0,249690,0,1611,35644,8538,735,0,0,233,1378,6527,75143,137,22429,3343,1319,0,13764,27045,0,31371,191,2047,1495,2204,1,30845,14556,233,1545,1166,0,471,9096,2416
57,2014,ARIZONA,Under 18,6303555,86,26173,0,337,5953,821,6,0,0,46,291,543,3523,62,3589,768,285,1378,1591,3475,0,218,5,223,18,57,0,4838,2682,12,220,82,0,45,2036,180
58,2014,ARIZONA,Total all ages,0,0,261448,918,1932,41250,8899,855,918,0,303,1629,6822,75863,198,25530,3893,1579,1378,14777,29670,0,26843,156,2466,1140,2076,6,35580,14323,181,1593,1182,0,288,10747,2370
59,2014,ARIZONA,Over 18,0,0,235275,918,1595,35297,8078,849,918,0,257,1338,6279,72340,136,21941,3125,1294,0,13186,26195,0,26625,151,2243,1122,2019,6,30742,11641,169,1373,1100,0,243,8711,2190
60,2015,ARIZONA,Under 18,5108556,98,21510,0,196,4691,618,0,0,0,45,151,448,3049,56,3042,499,201,1237,1652,2835,134,186,13,251,7,55,2,3935,1796,8,117,88,10,81,1481,131
61,2015,ARIZONA,Total all ages,0,0,226367,0,1310,30609,7161,220,0,0,230,1080,5750,62041,156,20492,2672,1064,1237,16750,24892,12521,22367,139,3317,706,1505,15,26717,10079,134,1047,952,177,244,7934,1929
62,2015,ARIZONA,Over 18,0,0,204857,0,1114,25918,6543,220,0,0,185,929,5302,58992,100,17450,2173,863,0,15098,22057,12387,22181,126,3066,699,1450,13,22782,8283,126,930,864,167,163,6453,1798
63,2016,ARIZONA,Under 18,6391343,90,22997,0,312,5113,1020,2,0,0,53,259,616,2924,45,3667,759,341,1061,1436,3090,84,211,19,177,13,80,0,3968,1668,15,336,126,0,65,1761,221
64,2016,ARIZONA,Total all ages,0,0,263699,1167,1732,37592,11145,387,1167,0,344,1388,8710,71741,177,26150,3957,1551,1061,15874,30309,14100,23498,352,2520,1098,2005,3,31907,9745,242,1849,1341,130,351,10031,2878
65,2016,ARIZONA,Over 18,0,0,240702,1167,1420,32479,10125,385,1167,0,291,1129,8094,68817,132,22483,3198,1210,0,14438,27219,14016,23287,333,2343,1085,1925,3,27939,8077,227,1513,1215,130,286,8270,2657
66,2017,ARIZONA,Under 18,6400872,91,22613,192,270,4528,1228,4,192,0,52,218,696,3062,56,3677,761,347,1126,1424,3096,78,198,6,182,22,74,1,3364,1461,30,450,156,3,57,1754,258
67,2017,ARIZONA,Total all ages,0,0,277698,6317,1628,34919,12832,303,5869,448,339,1289,10147,81016,213,26801,3974,1590,1126,15505,33230,15574,24195,457,2680,1201,2076,12,29142,8935,261,2085,1410,144,616,10287,3090
68,2017,ARIZONA,Over 18,0,0,255085,6125,1358,30391,11604,299,5677,448,287,1071,9451,77954,157,23124,3213,1243,0,14081,30134,15496,23997,451,2498,1179,2002,11,25778,7474,231,1635,1254,141,559,8533,2832
69,2018,ARIZONA,Under 18,6586181,91,20478,128,286,3298,1127,2,128,0,65,221,658,3022,24,3866,535,325,653,1424,3239,74,141,12,248,21,77,1,2414,1060,16,388,87,0,27,1631,247
70,2018,ARIZONA,Total all ages,0,0,256785,3693,1714,32622,11628,349,3629,64,328,1386,9079,78700,407,25198,3883,1711,653,14723,32272,11514,19200,854,2448,1121,2055,2,26621,7082,281,1940,1087,54,567,10177,3093
71,2018,ARIZONA,Over 18,0,0,236307,3565,1428,29324,10501,347,3501,64,263,1165,8421,75678,383,21332,3348,1386,0,13299,29033,11440,19059,842,2200,1100,1978,1,24207,6022,265,1552,1000,54,540,8546,2846
72,2019,ARIZONA,Under 18,5578646,94,18502,0,302,2839,1097,3,0,0,48,254,734,2659,30,3583,489,328,431,1299,2970,92,130,6,188,9,69,1,1992,988,19,296,87,0,36,1473,288
73,2019,ARIZONA,Total all ages,0,0,235594,3374,1506,29328,11325,242,3328,46,267,1239,8967,73083,172,23655,3536,1456,431,13658,28254,11317,18041,424,2501,772,1959,1,24164,5950,294,1797,896,28,421,9185,2884
74,2019,ARIZONA,Over 18,0,0,217092,3374,1204,26489,10228,239,3328,46,219,985,8233,70424,142,20072,3047,1128,0,12359,25284,11225,17911,418,2313,763,1890,0,22172,4962,275,1501,809,28,385,7712,2596
75,2020,ARIZONA,Under 18,6456926,86,13454,0,256,1865,1049,5,0,0,40,216,667,2101,30,2707,343,273,555,1040,1432,32,124,6,85,6,34,9,1219,615,22,320,88,1,38,1165,281
76,2020,ARIZONA,Total all ages,0,0,187255,1840,1373,26624,11663,368,1840,0,322,1051,9129,52697,212,23451,3521,1670,555,11128,21945,1291,14909,345,1595,610,1462,9,21221,3567,340,1872,1022,10,572,8781,3600
