,AgeR,AgeDetailR,ComputerR,EducationR,EmploymentR,GenderR,IncomeInPast12MonthsR,InternetR,PovertyR,TotalHouseholds,TotalPopulation,TotalTraffick
0,2,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0
2,1,0,0,0,0,2,0,0,0,0,2470685,0
3,1,0,0,0,0,2,0,0,0,0,2,0
4,1,0,0,0,0,0,0,0,0,0,3193338,0
5,1,0,0,6,0,0,0,0,0,0,5,0
6,1,0,0,7,0,0,0,0,0,0,11,0
7,1,0,0,2,0,0,0,0,0,0,31,0
8,1,0,0,8,0,0,0,0,0,0,22,0
9,1,0,0,9,0,0,0,0,0,0,7,0
10,1,0,0,10,0,0,0,0,0,0,14,0
11,1,0,0,11,0,0,0,0,0,0,8,0
12,1,0,0,5,0,0,0,0,0,0,83,0
13,1,0,0,4,0,0,0,0,0,0,22,0
14,1,0,0,0,0,0,0,0,0,0,680574,0
15,1,0,0,5,0,0,0,0,0,0,74,0
16,1,0,0,4,0,0,0,0,0,0,17,0
17,1,0,0,0,0,2,0,0,0,0,1680642,0
18,1,0,0,6,0,2,0,0,0,0,5,0
19,1,0,0,7,0,2,0,0,0,0,10,0
20,1,0,0,2,0,2,0,0,0,0,30,0
21,1,0,0,8,0,2,0,0,0,0,22,0
22,1,0,0,9,0,2,0,0,0,0,8,0
23,1,0,0,10,0,2,0,0,0,0,14,0
24,1,0,0,11,0,2,0,0,0,0,8,0
25,1,0,0,5,0,2,0,0,0,0,84,0
26,1,0,0,4,0,2,0,0,0,0,22,0
27,1,0,0,0,0,2,0,0,0,0,390642,0
28,1,0,0,5,0,2,0,0,0,0,72,0
29,1,0,0,4,0,2,0,0,0,0,13,0
30,1,0,0,0,0,0,0,0,1,0,4682976,0
31,1,0,0,0,0,0,0,0,1,0,3261198,0
32,1,0,0,0,0,0,0,0,1,0,1215913,0
33,1,0,0,0,0,2,0,0,1,0,24730,0
34,1,0,0,0,0,1,0,0,1,0,55412,0
35,1,0,0,0,0,0,0,0,1,0,719656,0
36,1,0,0,1,0,0,0,0,1,0,2232652,0
37,1,0,0,2,0,0,0,0,1,0,1994156,0
38,1,0,0,0,0,0,0,0,1,0,1046419,0
39,1,0,0,4,0,0,0,0,1,0,947737,0
40,1,0,0,0,1,0,0,0,1,0,123066,0
41,1,0,0,0,1,2,0,0,1,0,115430,0
42,1,0,0,0,1,1,0,0,1,0,3702290,0
43,1,0,0,0,2,0,0,0,1,0,1442258,0
44,1,0,0,0,2,2,0,0,1,0,820338,0
45,1,0,0,0,2,1,0,0,1,0,1439694,0
46,1,0,0,0,3,0,0,0,1,0,1133812,0
47,1,0,0,0,4,0,0,0,1,0,1395069,0
48,1,0,0,0,5,0,0,0,1,0,1736336,0
49,1,0,0,0,0,0,0,0,2,0,870631,0
50,1,0,0,0,0,0,0,0,2,0,437454,0
51,1,0,0,0,0,0,0,0,2,0,382335,0
52,1,0,0,0,0,2,0,0,2,0,5907,0
53,1,0,0,0,0,1,0,0,2,0,7658,0
54,1,0,0,0,0,0,0,0,2,0,29544,0
55,1,0,0,1,0,0,0,0,2,0,254857,0
56,1,0,0,2,0,0,0,0,2,0,164065,0
57,1,0,0,0,0,0,0,0,2,0,69377,0
58,1,0,0,4,0,0,0,0,2,0,94688,0
59,1,0,0,0,1,0,0,0,2,0,40989,0
60,1,0,0,0,1,2,0,0,2,0,49803,0
61,1,0,0,0,1,1,0,0,2,0,599085,0
62,1,0,0,0,2,0,0,0,2,0,51040,0
63,1,0,0,0,2,2,0,0,2,0,178810,0
64,1,0,0,0,2,1,0,0,2,0,369235,0
65,1,0,0,0,3,0,0,0,2,0,0,0
66,1,0,0,0,4,0,0,0,2,0,0,0
67,1,0,0,0,5,0,0,0,2,0,0,0
68,1,0,0,0,0,0,0,0,0,0,4799277,0
69,3,2,0,0,0,0,0,0,0,0,0,0
70,3,3,0,0,0,0,0,0,0,0,0,0
71,3,4,0,0,0,0,0,0,0,0,0,0
72,3,5,0,0,0,0,0,0,0,0,0,0
73,3,6,0,0,0,0,0,0,0,0,0,0
74,2,1,0,0,0,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0,1,0
76,1,0,0,0,0,2,0,0,0,0,2481658,0
77,1,0,0,0,0,2,0,0,0,0,2,0
78,1,0,0,0,0,0,0,0,0,0,3217902,0
79,1,0,0,6,0,0,0,0,0,0,5,0
80,1,0,0,7,0,0,0,0,0,0,10,0
81,1,0,0,2,0,0,0,0,0,0,31,0
82,1,0,0,8,0,0,0,0,0,0,22,0
83,1,0,0,9,0,0,0,0,0,0,7,0
84,1,0,0,10,0,0,0,0,0,0,14,0
85,1,0,0,11,0,0,0,0,0,0,8,0
86,1,0,0,5,0,0,0,0,0,0,83,0
87,1,0,0,4,0,0,0,0,0,0,23,0
88,1,0,0,0,0,0,0,0,0,0,699261,0
89,1,0,0,5,0,0,0,0,0,0,75,0
90,1,0,0,4,0,0,0,0,0,0,18,0
91,1,0,0,0,0,2,0,0,0,0,1694979,0
92,1,0,0,6,0,2,0,0,0,0,5,0
93,1,0,0,7,0,2,0,0,0,0,10,0
94,1,0,0,2,0,2,0,0,0,0,30,0
95,1,0,0,8,0,2,0,0,0,0,22,0
96,1,0,0,9,0,2,0,0,0,0,8,0
97,1,0,0,10,0,2,0,0,0,0,14,0
98,1,0,0,11,0,2,0,0,0,0,8,0
99,1,0,0,5,0,2,0,0,0,0,84,0
100,1,0,0,4,0,2,0,0,0,0,23,0
101,1,0,0,0,0,2,0,0,0,0,399655,0
102,1,0,0,5,0,2,0,0,0,0,74,0
103,1,0,0,4,0,2,0,0,0,0,14,0
104,1,0,0,0,0,0,0,0,1,0,4699510,0
105,1,0,0,0,0,0,0,0,1,0,3261152,0
106,1,0,0,0,0,0,0,0,1,0,1223705,0
107,1,0,0,0,0,2,0,0,1,0,24518,0
108,1,0,0,0,0,1,0,0,1,0,56929,0
109,1,0,0,0,0,0,0,0,1,0,738566,0
110,1,0,0,1,0,0,0,0,1,0,2227562,0
111,1,0,0,2,0,0,0,0,1,0,2002209,0
112,1,0,0,0,0,0,0,0,1,0,1050574,0
113,1,0,0,4,0,0,0,0,1,0,951635,0
114,1,0,0,0,1,0,0,0,1,0,115961,0
115,1,0,0,0,1,2,0,0,1,0,109392,0
116,1,0,0,0,1,1,0,0,1,0,3723366,0
117,1,0,0,0,2,0,0,0,1,0,1450759,0
118,1,0,0,0,2,2,0,0,1,0,804869,0
119,1,0,0,0,2,1,0,0,1,0,1467738,0
120,1,0,0,0,3,0,0,0,1,0,1159302,0
121,1,0,0,0,4,0,0,0,1,0,1416714,0
122,1,0,0,0,5,0,0,0,1,0,1753041,0
123,1,0,0,0,0,0,0,0,2,0,889710,0
124,1,0,0,0,0,0,0,0,2,0,448600,0
125,1,0,0,0,0,0,0,0,2,0,386183,0
126,1,0,0,0,0,2,0,0,2,0,5347,0
127,1,0,0,0,0,1,0,0,2,0,7721,0
128,1,0,0,0,0,0,0,0,2,0,31808,0
129,1,0,0,1,0,0,0,0,2,0,259120,0
130,1,0,0,2,0,0,0,0,2,0,171669,0
131,1,0,0,0,0,0,0,0,2,0,73133,0
132,1,0,0,4,0,0,0,0,2,0,98536,0
133,1,0,0,0,1,0,0,0,2,0,39458,0
134,1,0,0,0,1,2,0,0,2,0,47993,0
135,1,0,0,0,1,1,0,0,2,0,613563,0
136,1,0,0,0,2,0,0,0,2,0,54223,0
137,1,0,0,0,2,2,0,0,2,0,180412,0
138,1,0,0,0,2,1,0,0,2,0,378928,0
139,1,0,0,0,3,0,0,0,2,0,0,0
140,1,0,0,0,4,0,0,0,2,0,0,0
141,1,0,0,0,5,0,0,0,2,0,0,0
142,1,0,0,0,0,0,0,0,0,0,4817678,0
143,3,2,0,0,0,0,0,0,0,0,0,0
144,3,3,0,0,0,0,0,0,0,0,0,0
145,3,4,0,0,0,0,0,0,0,0,0,0
146,3,5,0,0,0,0,0,0,0,0,0,0
147,3,6,0,0,0,0,0,0,0,0,0,0
148,2,1,0,0,0,0,0,0,0,0,0,0
149,1,0,0,0,0,0,0,0,0,0,1,0
150,1,0,0,0,0,2,0,0,0,0,2489527,0
151,1,0,0,0,0,2,0,0,0,0,2,0
152,1,0,0,0,0,0,0,0,0,1846390,0,0
153,1,0,1,0,0,0,0,0,0,1492641,0,0
154,1,0,2,0,0,0,0,0,0,1270469,0,0
155,1,0,3,0,0,0,0,0,0,213456,0,0
156,1,0,4,0,0,0,0,0,0,1268465,0,0
157,1,0,5,0,0,0,0,0,0,209412,0,0
158,1,0,6,0,0,0,0,0,0,102632,0,0
159,1,0,7,0,0,0,0,0,0,4406,0,0
160,1,0,8,0,0,0,0,0,0,353749,0,0
161,1,0,9,0,0,0,0,0,0,1271411,0,0
162,1,0,10,0,0,0,0,0,0,10978,0,0
163,1,0,0,0,0,0,0,1,0,1260433,0,0
164,1,0,0,0,0,0,0,2,0,268187,0,0
165,1,0,0,0,0,0,0,3,0,631827,0,0
166,1,0,0,0,0,0,0,4,0,158733,0,0
167,1,0,0,0,0,0,0,5,0,558562,0,0
168,1,0,0,0,0,0,0,6,0,61316,0,0
169,1,0,0,0,0,0,0,7,0,65333,0,0
170,1,0,0,0,0,0,0,8,0,574979,0,0
171,1,0,0,0,0,0,1,0,0,421076,0,0
172,1,0,0,0,0,0,1,0,0,2467,0,0
173,1,0,0,0,0,0,1,0,0,177988,0,0
174,1,0,0,0,0,0,1,8,0,240621,0,0
175,1,0,0,0,0,0,2,0,0,907973,0,0
176,1,0,0,0,0,0,2,0,0,6234,0,0
177,1,0,0,0,0,0,2,0,0,618469,0,0
178,1,0,0,0,0,0,2,8,0,283270,0,0
179,1,0,0,0,0,0,3,0,0,517341,0,0
180,1,0,0,0,0,0,3,0,0,2277,0,0
