,Age,Gender,Birthplace,Location,Province,State,Definition,QuantityTrafficked,PercentChildren,PercentSexual,Region,Type,Perpetrators,KnowSurvivors,LocalTrafficking,Involvement,Interest,Thoughts
13,18-20,Female,USA,USA,,Washington DC,"I believe human trafficking can be broadly defined as forcing a person or multiple people to engage in activities for the gain of the person coordinating the trafficking. These activities can be sexual activity, organ harvesting, forced labor, etc.",5 million,64%,87%,Americas,Commercial sexual exploitation,"Family, Kidnappers / strangers",Yes,1,Yes,Yes,
31,40-49,Female,USA,USA,,Washington,"The abduction, sale and purchase, and enslavement of individuals. Often for a sexual purpose.",5 million,64%,57%,Americas,Commercial sexual exploitation,Family,Yes,1,Yes,No,I learned some things that I did not know. Thank you for the information. Such an evil. We must keep fighting it!
34,50-59,Female,USA,USA,,Oregon,"kidnapping children and adults and selling them for sex, slavery",No one actually knows,64%,87%,Americas,Forced labor,"Kidnappers / strangers, 1 percent, people of any kind of power, government, wealthy, greedy mean people. Drug dealers!",No,1,Yes,Not at this time,
35,40-49,Female,USA,USA,,Washington,"People being forced, coerced, or exploited into sex or labor, for the gain of someone else",No one actually knows,24%,57%,Arab States,Forced marriage,Family,Yes,1,Yes,Yes,
37,21-29,Female,USA,USA,,Florida,"Inhuman, forcing/grooming/coercing someone to do acts in which they do not consent to. Can take many forms such as forced labor, sex trafficking. Hard to detect at times. ",No one actually knows,64%,87%,Europe and Central Asia,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",Yes,5,Yes,No,
53,30-39,Male,USA,USA,,California,"The illegal movement of people, typically in association with slavery or prostitution. ",No one actually knows,24%,57%,Africa,Commercial sexual exploitation,Kidnappers / strangers,No,1,Yes,Yes,
63,40-49,Female,Canada,USA,,Washington,Profiting off of human enslavement  ,50 million,64%,87%,Asia and the Pacific,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,
65,60 or older,Female,USA,USA,,Arizona,Evil,No one actually knows,24%,87%,Arab States,Forced labor,Kidnappers / strangers,Yes,1,Yes,.,
68,50-59,Female,Europe,Europe,,,a crime,No one actually knows,24%,57%,Arab States,Forced marriage,Kidnappers / strangers,No,3,Yes,Yes,
78,30-39,Female,Canada,Canada,Manitoba,,"The use of force, fraud or coercion to trap someone typically in sexual exploitation or forced labour ( I would include organ trafficking as well as child marriage in this as well).",No one actually knows,24%,87%,Americas,Commercial sexual exploitation,Family,Yes,1,Yes,Yes,"Great Job! Stats are so hard to navigate and often present an image that is inaccurate in depicting the true realities. For example, the stats on sexual exploitation vs labour. Factors such as initial exploitation vs forced participation once trapped. Shame and disbelief surrounding sexual exploitation for men and boys. So tricky. The stats regarding arab states being higher reported. Same thing.... Do they take into account population differences as well as govt agendas and resources. So many thoughts. 
You did an amazing job with this Hannah and to me it highlights the struggle to understand the breadth and width and scope of the problem as a whole."
79,40-49,Female,Canada,Canada,Manitoba,,"When a person is made to give services (sexual, labour, etc) against their will. Basically, slave trading. ",50 million,64%,57%,Americas,Forced labor,Family,Yes,1,Yes,Yes,
80,30-39,Female,USA,USA,,California,Ht,No one actually knows,64%,87%,Americas,Commercial sexual exploitation,"Family, Foster system, Kidnappers / strangers",Yes,5,Yes,Yes,
